bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,bus_name
HR1-220,,220.0,f,Substation,f,HR1,16.35844589999999,45.35731309090436,HR,Petrinja
HR2-220,,220.0,f,Substation,f,HR2,15.032780799999996,45.01686579065087,HR,Gospic
HR3-220,,220.0,f,Substation,f,HR3,15.0984209,44.97969419062283,HR,DugaResa
HR4-220,,220.0,f,Substation,f,HR4,16.783384400000003,43.672951889596895,HR,Solin
way/113757307-220,,220.0,f,Substation,f,way/113757307,18.420983798347297,45.28870540962547,HR,Vinkovci
way/129122541-220,,220.0,f,Substation,f,way/129122541,14.52184877804528,45.28680687559485,HR,Opatija
way/162022271-220,,220.0,f,Substation,f,way/162022271,15.903205816155046,43.75638875753232,HR,Sibenik
way/163860997-400,,400.0,f,Substation,f,way/163860997,15.754697507990151,44.20739602565296,HR,Knin
way/170366194-220,,220.0,f,Substation,f,way/170366194,16.41378481811703,45.45249240172426,HR,Sisak
way/173272584-220,,220.0,f,Substation,f,way/173272584,14.925104123459262,44.942709369849865,HR,Crikvenica
way/210745193-220,,220.0,f,Substation,f,way/210745193,14.166639022574504,45.137590945224346,HR,Pula
way/273326173-220,,220.0,f,Substation,f,way/273326173,15.105276725972995,44.99301484758882,HR,Ogulin
way/43337263-220,,220.0,f,Substation,f,way/43337263,16.50099637767922,43.60025925825496,HR,Split
way/43337263-400,,400.0,f,Substation,f,way/43337263,16.50127907148467,43.60043328704915,HR,KastelStari
way/59683455-220,,220.0,f,Substation,f,way/59683455,16.702004592938074,43.45514307124362,HR,Sinj
way/737067003-220,,220.0,f,Substation,f,way/737067003,16.100797800454718,44.06449494578801,HR,Benkovac
way/89817617-220,,220.0,f,Substation,f,way/89817617,14.563904567364178,45.31618459534974,HR,Viskovo
way/89817617-400,,400.0,f,Substation,f,way/89817617,14.564190054501609,45.31636366839107,HR,Rijeka
way/89818719-400,,400.0,f,Substation,f,way/89818719,15.869401606746242,45.68142826573554,HR,Zagreb
way/89819945-220,,220.0,f,Substation,f,way/89819945,16.111889141850742,45.66742738186066,HR,VelikaGorica
way/89820062-220,,220.0,f,Substation,f,way/89820062,16.162583761408865,45.87599739321187,HR,Samobor
way/89820062-400,,400.0,f,Substation,f,way/89820062,16.162877551551272,45.87617194257123,HR,Sesvete
way/89823918-400,,400.0,f,Substation,f,way/89823918,18.663329039744493,45.47318683998,HR,Osijek
way/96704507-220,,220.0,f,Substation,f,way/96704507,16.913620388699012,45.448081289056574,HR,Kutina
way/96722667-220,,220.0,f,Substation,f,way/96722667,14.408781611334202,45.35480557715705,HR,Matulji
