GEM location ID,bus_id,bus_name
L100000400049,way/89818719-400,Zagreb
L100000400052,way/89820062-400,Sesvete
L100000400053,way/89823918-400,Osijek
L100000400055,way/96704507-220,Kutina
L100001025952,way/129122541-220,Opatija
L100000400056,way/170366194-220,Sisak
L100000400057,way/89819945-220,VelikaGorica
L100001047560,way/170366194-220,Sisak
L100000806106,way/163860997-400,Knin
L100001007165,way/96704507-220,Kutina
L100001052740,way/96704507-220,Kutina
L100001052762,way/96704507-220,Kutina
L100001049553,way/89823918-400,Osijek
L100001007156,way/113757307-220,Vinkovci
L100001052737,way/96704507-220,Kutina
L100001052754,way/113757307-220,Vinkovci
L100001052755,way/113757307-220,Vinkovci
L100001052775,way/210745193-220,Pula
L100001007138,way/43337263-400,KastelStari
L100001007140,way/59683455-220,Sinj
L100001000559,way/43337263-220,Split
L100000806295,way/163860997-400,Knin
L100001007143,way/210745193-220,Pula
L100001007145,way/210745193-220,Pula
L100001052742,way/210745193-220,Pula
L100001052751,way/210745193-220,Pula
L100001052761,way/210745193-220,Pula
L100001052764,way/210745193-220,Pula
L100001052771,way/210745193-220,Pula
L100000806923,way/59683455-220,Sinj
L100001047556,HR1-220,Petrinja
L100000806458,HR4-220,Solin
L100001007153,way/89820062-400,Sesvete
L100001052758,way/89820062-400,Sesvete
L100000806459,way/163860997-400,Knin
L100001007141,way/89820062-400,Sesvete
L100001007142,way/89820062-400,Sesvete
L100001052763,way/89820062-220,Samobor
L100001052772,way/89820062-220,Samobor
L100001047554,way/89818719-400,Zagreb
L100001000455,way/89820062-400,Sesvete
L100001052767,way/163860997-400,Knin
L100001047564,way/96704507-220,Kutina
L100001047553,way/273326173-220,Ogulin
L100000806626,way/162022271-220,Sibenik
L100001047558,way/96722667-220,Matulji
L100000806875,way/163860997-400,Knin
L100001007144,way/89820062-400,Sesvete
L100001007160,way/89820062-400,Sesvete
L100001052759,way/89820062-400,Sesvete
L100001052768,way/89820062-400,Sesvete
L100001052770,way/89820062-400,Sesvete
L100001052774,way/89820062-400,Sesvete
L100001049554,way/173272584-220,Crikvenica
L100000806461,HR4-220,Solin
L100001007166,way/89823918-400,Osijek
L100001052738,way/89823918-400,Osijek
L100001052739,way/89823918-400,Osijek
L100001052748,way/89823918-400,Osijek
L100001052750,way/113757307-220,Vinkovci
L100001052766,way/89823918-400,Osijek
L100001052773,way/89823918-400,Osijek
L100000806627,way/163860997-400,Knin
L100001047555,way/89818719-400,Zagreb
L100000806047,way/737067003-220,Benkovac
L100000806818,way/89820062-400,Sesvete
L100000806740,way/59683455-220,Sinj
L100001047559,way/89819945-220,VelikaGorica
L100001052769,way/96704507-220,Kutina
L100001047562,way/113757307-220,Vinkovci
L100001047552,way/113757307-220,Vinkovci
L100001052741,way/43337263-400,KastelStari
L100001052745,way/737067003-220,Benkovac
L100001052749,HR4-220,Solin
L100001000506,way/163860997-400,Knin
L100001007146,way/89820062-400,Sesvete
L100001007149,way/89820062-400,Sesvete
L100001007154,way/89820062-400,Sesvete
L100001007163,way/89820062-400,Sesvete
L100001052776,way/89820062-400,Sesvete
L100001007164,way/89820062-400,Sesvete
L100001052743,way/89820062-400,Sesvete
L100001052746,way/89820062-400,Sesvete
L100001052752,way/89820062-400,Sesvete
L100001047563,HR4-220,Solin
L100001007155,way/96704507-220,Kutina
L100001007157,way/96704507-220,Kutina
L100001052744,way/113757307-220,Vinkovci
L100001052756,way/96704507-220,Kutina
L100001052760,way/96704507-220,Kutina
L100001007139,way/113757307-220,Vinkovci
L100001052736,way/89823918-400,Osijek
L100001052777,way/162022271-220,Sibenik
L100001007137,way/163860997-400,Knin
L100001007147,way/162022271-220,Sibenik
L100001007158,way/163860997-400,Knin
L100001052747,way/89819945-220,VelikaGorica
L100001052753,way/89818719-400,Zagreb
L100001052757,way/89818719-400,Zagreb
L100001052765,way/89819945-220,VelikaGorica
L100001047557,way/113757307-220,Vinkovci
L100001007148,way/737067003-220,Benkovac
L100001007161,way/737067003-220,Benkovac
L100001007162,way/737067003-220,Benkovac
L100000915138,way/162022271-220,Sibenik
L100001047387,way/43337263-220,Split
L100000908417,way/162022271-220,Sibenik
L100000914458,way/162022271-220,Sibenik
L100000913238,way/162022271-220,Sibenik
L100000911855,way/162022271-220,Sibenik
L100001047543,way/163860997-400,Knin
L100000908976,way/163860997-400,Knin
L100000913278,way/43337263-220,Split
L100000914351,HR4-220,Solin
L100000913702,way/59683455-220,Sinj
L100001047546,way/737067003-220,Benkovac
L100000907941,way/59683455-220,Sinj
L100000915236,way/163860997-400,Knin
L100000915858,way/737067003-220,Benkovac
L100000919350,HR3-220,DugaResa
L100000913310,way/737067003-220,Benkovac
L100001047389,HR3-220,DugaResa
L100000914801,HR4-220,Solin
L100000919349,way/163860997-400,Knin
L100000909133,way/163860997-400,Knin
L100000914382,way/43337263-400,KastelStari
L100000913337,way/59683455-220,Sinj
L100000908080,way/162022271-220,Sibenik
L100000910350,way/43337263-220,Split
L100000914004,way/59683455-220,Sinj
L100001047545,way/162022271-220,Sibenik
L100000913728,way/59683455-220,Sinj
L100000915909,HR2-220,Gospic
L100000912520,HR2-220,Gospic
L100000910012,way/737067003-220,Benkovac
L100001047544,HR4-220,Solin
L100000908534,way/162022271-220,Sibenik
L100000919352,way/163860997-400,Knin
L100001000479,HR4-220,Solin
L100001047542,HR4-220,Solin
L100000919353,way/163860997-400,Knin
L100000914495,way/737067003-220,Benkovac
L100000911293,way/163860997-400,Knin
L100000101773,way/210745193-220,Pula
L100001064091,way/113757307-220,Vinkovci
L100001042906,way/89820062-400,Sesvete
L100001025597,way/89820062-400,Sesvete
L100001042907,way/89820062-400,Sesvete
L100001042905,way/96704507-220,Kutina
L100001025598,way/96704507-220,Kutina
L100001025784,HR4-220,Solin
L100000601457,way/89820062-400,Sesvete
L100001054676,HR4-220,Solin
L100000601458,way/89820062-400,Sesvete
L100001023016,HR2-220,Gospic
L100001082479,HR3-220,DugaResa
L100001023017,way/59683455-220,Sinj
L100001054677,way/273326173-220,Ogulin
L100000601459,HR4-220,Solin
L100001023018,HR4-220,Solin
L100001082480,way/96722667-220,Matulji
L100000601460,way/173272584-220,Crikvenica
L100000601461,way/173272584-220,Crikvenica
L100000601462,way/89820062-400,Sesvete
L100000601463,way/163860997-400,Knin
L100000601464,way/89817617-220,Viskovo
L100001025783,HR4-220,Solin
L100000601465,way/59683455-220,Sinj
