GEM location ID,bus_id
L100001016307,way/610198177-275
L100000200641,way/841499143-275
L100000200642,way/736595653-500
L100000200643,way/337039411-275
L100000200644,way/1186182648-500
L100000102803,way/610198177-275
L100000102773,way/544403426-230
L100000408062,way/721685825-275
L100000408061,way/721685825-275
L100000408313,way/615581232-275
L100000407608,ID2-275
L100000408065,ID2-275
L100000408064,ID2-275
L100000408063,way/736595653-500
L100000102828,ID38-500
L100000406379,way/337039411-275
L100000405264,way/960747902-500
L100000408067,way/340205049-275
L100000405265,way/340205049-275
L100000408066,way/615581232-275
L100000405266,way/610198177-275
L100000408069,way/161965853-500
L100000405267,ID12-500
L100000405268,way/966209515-500
L100000408073,way/736595653-275
L100000405269,ID38-500
L100000405936,way/615581242-275
L100000408074,way/544403431-230
L100000405270,way/340978681-500
L100000405271,ID34-500
L100000405272,ID34-500
L100000405273,ID8-275
L100000405274,way/610198177-275
L100000405275,way/960747902-500
L100000405937,ID34-500
L100000408072,way/759130125-230
L100000102824,way/562061281-275
L100000405938,ID34-500
L100000405940,way/615581242-275
L100000407148,way/340205049-275
L100000407149,way/615581242-275
L100000405278,way/610198177-275
L100000405279,way/610198177-275
L100000405280,way/161965853-500
L100000405942,ID38-500
L100000408079,way/928220391-275
L100000102724,ID34-500
L100000408928,way/1316876158-275
L100000405283,ID15-500
L100000405284,ID13-500
L100000405285,way/736595653-275
L100000405286,way/610198177-275
L100000408082,way/736595653-500
L100000408080,way/943539373-500
L100000405287,ID34-500
L100000408081,ID38-500
L100000405276,ID23-500
L100000405288,way/736595653-500
L100000408084,way/736595653-275
L100000408083,ID3-275
L100000405289,way/615581270-275
L100000405949,way/615581242-275
L100000408314,way/161960924-500
L100000405292,way/340205049-275
L100000408927,ID38-500
L100000408085,way/943539373-500
L100000405293,way/166633831-500
L100000405952,way/615581242-275
L100000405294,ID14-500
L100000407611,way/736595653-500
L100000408071,way/943539373-500
L100000408070,way/610198177-275
L100000104979,way/615581242-275
L100000102708,ID37-500
L100000102759,way/615581242-275
L100000104535,way/615581242-275
L100000102695,way/161965853-500
L100000102783,ID34-500
L100000102812,way/264410236-500
L100000102693,way/610198177-275
L100000102794,ID8-275
L100000102795,ID8-275
L100000102696,way/161965853-500
L100000102697,way/169444592-500
L100000102698,ID10-500
L100000102699,ID11-500
L100000102787,way/615581270-275
L100000104826,way/562061281-275
L100000102707,way/528189342-275
L100000102797,ID8-275
L100000102691,ID38-500
L100000104575,way/604684007-500
L100000102709,ID30-500
L100000102813,ID13-500
L100000102711,way/629512849-500
L100000104397,way/161965853-500
L100000102814,ID29-500
L100000104617,way/615581232-275
L100000105022,way/615581232-275
L100000104841,way/615581232-275
L100001026019,way/615581232-275
L100000104834,way/169444592-500
L100000102735,way/615581242-275
L100000104975,way/960747902-500
L100000104584,way/399100035-500
L100000102815,way/1013653012-500
L100000102703,ID12-500
L100000104615,way/615581232-275
L100000102823,way/562061281-275
L100000102715,ID2-275
L100000102717,ID34-500
L100000102736,way/615581242-275
L100000102737,way/615581270-275
L100000102719,way/615581242-275
L100000102798,way/527900241-275
L100000102810,way/615581232-275
L100000102826,way/562061281-275
L100000102767,way/721674155-275
L100000102754,way/1316876158-275
L100000102831,ID38-500
L100000104400,way/340205049-275
L100000102704,ID10-500
L100000102690,ID1-275
L100000104619,way/943539373-275
L100000102834,ID6-275
L100000102726,way/265318414-500
L100000102728,ID38-500
L100000102729,ID38-500
L100000102730,ID38-500
L100000102788,way/615581242-275
L100000102769,way/754073846-275
L100000102827,way/562061281-275
L100000102778,way/736595653-500
L100000102819,way/161960924-500
L100000102779,way/736595653-500
L100000102820,way/960747936-500
L100000102727,ID38-500
L100000102731,ID38-500
L100000102801,way/615581232-275
L100000104831,way/615581232-275
L100001000402,way/615581232-275
L100001016333,way/943539373-500
L100000102789,way/615581270-275
L100000104398,way/399100035-500
L100000104616,way/615581232-275
L100000102713,ID27-500
L100000102802,way/1316786278-275
L100000102745,way/943539373-275
L100000104846,way/615581232-275
L100000102722,way/615581232-275
L100000102742,way/615581242-275
L100000102762,way/615581242-275
L100000102763,way/615581242-275
L100000104583,way/1316786278-275
L100000102804,way/1316786278-275
L100000102806,way/946191122-275
L100000102785,way/615581270-275
L100000102786,way/615581270-275
L100000102792,way/615581270-275
L100000102732,way/398909640-500
L100000102714,ID28-500
L100000102782,way/736595653-500
L100000102756,way/1316876158-275
L100000102835,ID6-275
L100000102740,way/615581270-275
L100000104805,way/265568001-500
L100000102793,way/615581270-275
L100000104847,way/615581232-275
L100000104613,way/615581242-275
L100000104614,way/615581232-275
L100001000090,way/1186182648-500
L100000901004,way/615581270-275
L100000901005,way/615581270-275
L100000901036,ID34-500
L100000901313,way/264550744-500
L100000901337,way/340205049-275
L100000916657,way/1308433899-500
L100000916660,ID38-500
L100000916662,way/1308433899-500
L100000916663,way/1308433899-500
L100000916669,way/614955993-230
L100000916671,way/614955993-230
L100000916676,ID36-500
L100000916677,way/1308433899-500
L100000916681,way/1308433899-500
L100001020736,way/615581270-275
L100001020737,way/615581270-275
L100001020762,way/615581270-275
L100001020763,ID12-500
L100001020764,ID38-500
L100001020765,way/314452486-500
L100000800820,ID38-500
L100000808621,way/1186182648-500
L100000800828,way/736595653-500
L100000800892,way/399100035-500
L100000830276,way/1186182648-500
L100000808625,way/1186182648-500
L100000830277,way/615581242-275
L100000830279,way/615581270-275
L100000830280,way/265568001-500
L100000830281,way/264550744-500
L100000830282,way/265318414-500
L100001020725,way/264410236-500
L100001020722,way/615581232-275
L100000830283,way/615581270-275
L100000808623,way/615581242-275
L100001020724,way/615581232-275
L100000830284,way/615581242-275
L100000801224,ID6-275
L100001020728,way/399100035-500
L100001020727,way/943539373-500
L100000830285,way/736595653-500
L100000830286,ID38-500
L100000801313,way/1013653012-500
L100000801387,ID6-275
L100000808627,way/931931121-275
L100000830287,ID38-500
L100000801458,way/610198177-275
L100000830289,way/1186182648-500
L100000808628,ID6-275
L100001024226,ID38-500
L100001024232,way/736595653-275
L100001024231,way/615581242-275
L100000830278,ID38-500
L100001024233,way/615581270-275
L100001024235,way/615581242-275
L100001024234,way/615581242-275
L100001024224,way/615581270-275
L100001024227,way/615581270-275
L100001024236,way/615581242-275
L100001024230,ID38-500
L100001024225,way/399100035-500
L100001024223,way/615581270-275
L100001024222,way/615581270-275
L100001024237,ID38-500
L100001024228,ID38-500
L100001024229,ID38-500
L100000700198,way/615581270-275
L100000700008,way/169444592-500
L100000700199,way/267626657-500
L100000700014,ID38-500
L100001025666,way/528189342-275
L100001025665,ID31-500
L100000700200,way/931931133-275
L100000700037,ID33-500
L100000700040,ID31-500
L100001042931,ID31-500
L100000700058,way/161960924-500
L100000700066,way/528189342-275
L100001025884,ID38-500
L100000700072,way/769617021-500
L100000700073,way/314452486-500
L100000700204,way/528189342-275
L100001025883,way/615581242-275
L100000700205,way/615581242-275
L100000700091,way/931931133-275
L100000700206,way/615581270-275
L100000700113,way/1312287191-275
L100001025607,way/615581270-275
L100000700207,way/265318414-500
L100000700139,ID33-500
L100000700144,ID11-500
L100000700146,way/931931133-275
L100000700147,way/1316876158-275
L100000700209,way/161965853-500
L100001025662,way/721674155-275
L100000700157,way/721674155-275
L100000700210,way/340205049-275
L100000700211,way/615581270-275
L100000700212,way/1193553154-275
L100000700160,way/469888049-275
L100000700165,way/841499143-275
L100000700213,way/769617021-500
L100001025604,way/615581242-275
L100000700214,way/615581232-275
L100000700185,way/1316876158-275
L100000700215,way/1316876158-275
L100001025664,way/615581270-275
L100000700216,way/166633831-500
L100000700191,ID33-500
L100000602099,way/754178667-275
L100000602100,way/310695690-275
L100000602101,way/841499143-275
L100000602102,way/615581270-275
L100000602103,way/615581232-275
L100000602104,way/721674155-275
L100000602105,way/841499143-275
L100000602106,way/615581242-275
L100000602107,way/841499143-275
L100000602108,way/841499143-275
L100000602109,way/399100035-500
L100000602110,ID36-500
L100000602111,ID2-275
L100000602112,way/399100035-500
L100000602113,way/615581270-275
L100001045708,ID35-500
L100001045709,ID35-500
L100000602114,way/615581242-275
L100000602115,way/615581242-275
L100000602116,way/615581242-275
L100000602117,way/615581242-275
L100000602118,way/615581242-275
L100000602119,way/615581242-275
L100000602120,way/841499143-275
L100000602121,ID3-275
L100000602122,ID1-275
L100000602123,way/841499143-275
L100000602124,way/615581232-275
L100000602125,way/310958602-275
L100000602126,way/615581270-275
L100000602127,way/841499143-275
L100000602128,way/615581270-275
L100000602129,way/615581270-275
L100001045714,ID6-275
L100000602130,way/314452486-500
L100000602131,way/314452486-500
L100000602132,way/615581242-275
L100001045703,way/721685825-275
L100000602133,ID2-275
L100000602134,way/528189342-275
L100000602135,ID2-275
