bus_id,grid_cell
way/159940153-500,IDN_318
way/161960924-500,IDN_317
way/161960933-500,IDN_317
way/161965853-500,IDN_285
way/166633831-500,IDN_414
way/169444592-500,IDN_304
way/261185002-500,IDN_360
way/264410236-500,IDN_334
way/264550744-500,IDN_325
way/265318414-500,IDN_459
way/265568001-500,IDN_492
way/267626657-500,IDN_371
way/271376037-500,IDN_318
way/310695690-275,IDN_90
way/310958602-275,IDN_78
way/314452486-500,IDN_347
way/337039411-275,IDN_92
way/340205049-275,IDN_68
way/340978681-500,IDN_509
way/398909640-500,IDN_476
way/399038181-500,IDN_318
way/399100034-500,IDN_326
way/399100035-500,IDN_326
way/469888049-275,IDN_87
way/527900241-275,IDN_207
way/528189342-275,IDN_178
way/544403426-230,IDN_1280
way/544403431-230,IDN_1281
way/562061281-275,IDN_392
way/604684007-500,IDN_317
way/610198177-275,IDN_225
way/614955990-230,IDN_1280
way/614955993-230,IDN_1280
way/615581232-275,IDN_849
way/615581242-275,IDN_835
way/615581270-275,IDN_809
way/629512849-500,IDN_370
way/662591948-500,IDN_318
way/689263666-500,IDN_398
way/721674155-275,IDN_77
way/721685825-275,IDN_8
way/736595653-500,IDN_156
way/753733608-275,IDN_226
way/754073846-275,IDN_56
way/754096394-275,IDN_80
way/754178666-275,IDN_90
way/754178667-275,IDN_90
way/759130125-230,IDN_1281
way/769617021-500,IDN_334
way/841499143-275,IDN_167
way/926254403-500,IDN_317
way/928220391-275,IDN_3
way/928928133-275,IDN_126
way/930719092-275,IDN_168
way/931931121-275,IDN_257
way/931931133-275,IDN_206
way/939542521-275,IDN_139
way/943539373-500,IDN_212
way/946191122-275,IDN_211
way/960747902-500,IDN_327
way/960747936-500,IDN_326
way/966209515-500,IDN_317
way/1013653012-500,IDN_350
way/1186182648-500,IDN_170
way/1193553154-275,IDN_835
way/1308433899-500,IDN_413
way/1312287191-275,IDN_152
way/1316786278-275,IDN_223
way/1316876158-275,IDN_272
ID36-500,IDN_429
ID11-500,IDN_285
ID26-500,IDN_317
ID13-500,IDN_318
ID22-500,IDN_327
ID38-500,IDN_526
ID34-500,IDN_493
ID1-275,IDN_13
way/943539373-275,IDN_212
ID31-500,IDN_398
way/736595653-275,IDN_156
ID4-275,IDN_126
ID5-275,IDN_126
ID6-275,IDN_113
ID7-275,IDN_152
ID12-500,IDN_304
ID28-500,IDN_432
ID27-500,IDN_432
ID25-500,IDN_327
ID33-500,IDN_334
ID37-500,IDN_370
ID10-500,IDN_285
ID16-500,IDN_318
ID8-275,IDN_223
ID14-500,IDN_318
ID18-500,IDN_318
ID21-500,IDN_318
ID20-500,IDN_318
ID24-500,IDN_318
ID2-275,IDN_427
ID9-230,IDN_1280
ID30-500,IDN_398
ID3-275,IDN_127
ID23-500,IDN_336
ID29-500,IDN_360
ID35-500,IDN_492
ID19-500,IDN_318
ID17-500,IDN_318
ID15-500,IDN_318
ID1-275,IDN_0
way/928220391-275,IDN_1
way/928220391-275,IDN_2
ID1-275,IDN_4
ID1-275,IDN_5
ID1-275,IDN_6
way/721685825-275,IDN_7
way/721685825-275,IDN_9
ID1-275,IDN_10
ID1-275,IDN_11
ID1-275,IDN_12
ID1-275,IDN_14
way/721685825-275,IDN_15
ID1-275,IDN_16
ID1-275,IDN_17
ID1-275,IDN_18
ID1-275,IDN_19
ID1-275,IDN_20
ID1-275,IDN_21
way/721685825-275,IDN_22
way/721674155-275,IDN_23
way/721674155-275,IDN_24
way/721674155-275,IDN_25
way/721674155-275,IDN_26
way/340205049-275,IDN_27
ID1-275,IDN_28
ID1-275,IDN_29
ID1-275,IDN_30
ID1-275,IDN_31
ID1-275,IDN_32
way/721685825-275,IDN_33
way/469888049-275,IDN_35
way/721674155-275,IDN_36
way/721674155-275,IDN_38
way/340205049-275,IDN_39
way/340205049-275,IDN_40
way/340205049-275,IDN_41
way/754073846-275,IDN_42
way/754073846-275,IDN_43
way/754073846-275,IDN_44
way/754073846-275,IDN_45
way/469888049-275,IDN_46
way/469888049-275,IDN_47
way/469888049-275,IDN_48
way/469888049-275,IDN_49
way/721674155-275,IDN_50
way/721674155-275,IDN_51
way/310958602-275,IDN_52
way/340205049-275,IDN_53
way/340205049-275,IDN_54
way/754073846-275,IDN_55
way/754073846-275,IDN_57
ID6-275,IDN_58
ID6-275,IDN_59
ID6-275,IDN_60
way/469888049-275,IDN_61
way/469888049-275,IDN_62
way/721674155-275,IDN_63
way/721674155-275,IDN_64
way/310958602-275,IDN_65
way/754096394-275,IDN_66
way/340205049-275,IDN_67
way/754073846-275,IDN_69
ID6-275,IDN_70
ID6-275,IDN_71
ID6-275,IDN_72
way/469888049-275,IDN_73
way/469888049-275,IDN_74
way/469888049-275,IDN_75
way/721674155-275,IDN_76
way/310695690-275,IDN_79
way/754096394-275,IDN_81
ID6-275,IDN_82
ID6-275,IDN_83
ID6-275,IDN_84
way/469888049-275,IDN_85
way/469888049-275,IDN_86
way/469888049-275,IDN_88
way/721674155-275,IDN_89
way/310695690-275,IDN_91
way/939542521-275,IDN_93
way/939542521-275,IDN_94
ID6-275,IDN_95
ID6-275,IDN_96
ID6-275,IDN_97
ID5-275,IDN_98
way/469888049-275,IDN_99
way/469888049-275,IDN_100
way/469888049-275,IDN_101
way/754178666-275,IDN_102
way/310695690-275,IDN_103
way/337039411-275,IDN_104
way/337039411-275,IDN_105
way/841499143-275,IDN_106
way/841499143-275,IDN_107
way/1312287191-275,IDN_108
ID6-275,IDN_111
ID6-275,IDN_112
ID5-275,IDN_114
ID3-275,IDN_115
ID3-275,IDN_116
way/469888049-275,IDN_117
way/310695690-275,IDN_118
way/310695690-275,IDN_119
way/337039411-275,IDN_120
way/841499143-275,IDN_121
way/1312287191-275,IDN_122
way/939542521-275,IDN_123
way/939542521-275,IDN_124
ID6-275,IDN_125
ID3-275,IDN_128
ID3-275,IDN_129
way/736595653-275,IDN_130
way/736595653-275,IDN_131
way/310695690-275,IDN_132
way/841499143-275,IDN_134
way/841499143-275,IDN_135
way/1312287191-275,IDN_136
way/1312287191-275,IDN_137
way/939542521-275,IDN_138
ID4-275,IDN_140
ID3-275,IDN_141
way/736595653-275,IDN_142
way/736595653-275,IDN_143
way/736595653-275,IDN_144
way/736595653-275,IDN_145
way/736595653-275,IDN_146
way/528189342-275,IDN_147
way/841499143-275,IDN_148
way/841499143-275,IDN_149
way/841499143-275,IDN_150
way/1312287191-275,IDN_151
way/1186182648-500,IDN_153
way/1186182648-500,IDN_154
way/736595653-500,IDN_155
way/736595653-275,IDN_157
way/736595653-275,IDN_158
way/736595653-275,IDN_159
way/931931133-275,IDN_160
way/931931133-275,IDN_161
way/528189342-275,IDN_162
way/528189342-275,IDN_163
way/528189342-275,IDN_164
way/528189342-275,IDN_165
way/841499143-275,IDN_166
way/930719092-275,IDN_169
way/1186182648-500,IDN_171
way/1186182648-500,IDN_172
way/736595653-500,IDN_173
way/736595653-500,IDN_174
way/736595653-500,IDN_175
way/931931133-275,IDN_176
way/528189342-275,IDN_177
way/528189342-275,IDN_179
way/841499143-275,IDN_180
way/841499143-275,IDN_181
way/930719092-275,IDN_182
way/930719092-275,IDN_183
way/1186182648-500,IDN_184
way/1186182648-500,IDN_185
way/1186182648-500,IDN_186
way/736595653-500,IDN_187
way/736595653-500,IDN_188
way/736595653-500,IDN_189
way/931931133-275,IDN_190
way/931931133-275,IDN_191
way/527900241-275,IDN_192
way/528189342-275,IDN_193
way/528189342-275,IDN_194
way/946191122-275,IDN_195
way/943539373-275,IDN_196
way/943539373-275,IDN_197
way/943539373-275,IDN_198
way/1186182648-500,IDN_199
way/1186182648-500,IDN_200
way/1186182648-500,IDN_201
way/736595653-500,IDN_202
way/736595653-500,IDN_203
way/931931133-275,IDN_204
way/931931133-275,IDN_205
way/527900241-275,IDN_208
way/753733608-275,IDN_209
way/946191122-275,IDN_210
way/943539373-275,IDN_213
way/943539373-275,IDN_214
way/943539373-275,IDN_215
way/1186182648-500,IDN_216
way/1186182648-500,IDN_217
way/736595653-500,IDN_218
way/1316876158-275,IDN_219
way/1316876158-275,IDN_220
way/931931133-275,IDN_221
way/1316786278-275,IDN_222
way/1316786278-275,IDN_224
way/946191122-275,IDN_227
way/943539373-500,IDN_228
way/943539373-500,IDN_229
way/943539373-275,IDN_230
way/943539373-275,IDN_231
way/943539373-275,IDN_232
way/1186182648-500,IDN_233
way/736595653-500,IDN_234
way/1316876158-275,IDN_235
way/1316876158-275,IDN_236
way/1316876158-275,IDN_237
way/931931121-275,IDN_238
way/931931121-275,IDN_239
way/931931121-275,IDN_240
way/1316786278-275,IDN_241
way/610198177-275,IDN_242
way/610198177-275,IDN_243
way/753733608-275,IDN_244
way/946191122-275,IDN_245
way/943539373-500,IDN_246
way/943539373-500,IDN_247
way/943539373-500,IDN_248
way/943539373-275,IDN_249
way/943539373-275,IDN_250
way/1186182648-500,IDN_251
way/161965853-500,IDN_252
way/1316876158-275,IDN_253
way/1316876158-275,IDN_254
way/1316876158-275,IDN_255
way/1316876158-275,IDN_256
way/931931121-275,IDN_258
way/931931121-275,IDN_259
way/610198177-275,IDN_260
way/610198177-275,IDN_261
way/753733608-275,IDN_262
way/943539373-500,IDN_263
way/943539373-500,IDN_264
way/943539373-500,IDN_265
way/943539373-500,IDN_266
way/943539373-275,IDN_267
way/161965853-500,IDN_268
way/161965853-500,IDN_269
way/161965853-500,IDN_270
way/1316876158-275,IDN_271
way/1316876158-275,IDN_273
way/931931121-275,IDN_274
way/931931121-275,IDN_275
way/931931121-275,IDN_276
way/610198177-275,IDN_277
way/610198177-275,IDN_278
way/610198177-275,IDN_279
way/753733608-275,IDN_280
way/943539373-500,IDN_281
way/736595653-500,IDN_282
way/169444592-500,IDN_283
way/161965853-500,IDN_284
ID10-500,IDN_286
way/1316876158-275,IDN_287
way/1316876158-275,IDN_288
way/931931121-275,IDN_289
way/931931121-275,IDN_290
way/931931121-275,IDN_291
way/931931121-275,IDN_292
way/610198177-275,IDN_293
way/610198177-275,IDN_294
way/610198177-275,IDN_295
way/753733608-275,IDN_296
way/562061281-275,IDN_298
way/562061281-275,IDN_299
way/562061281-275,IDN_300
way/161960924-500,IDN_301
way/604684007-500,IDN_302
way/169444592-500,IDN_303
ID10-500,IDN_305
way/931931121-275,IDN_307
way/931931121-275,IDN_308
way/610198177-275,IDN_309
way/610198177-275,IDN_310
way/610198177-275,IDN_311
way/562061281-275,IDN_312
way/562061281-275,IDN_313
way/562061281-275,IDN_314
way/264550744-500,IDN_315
way/966209515-500,IDN_316
