GEM location ID,bus_id,bus_name
L100000102430,way/293597835-765,Solapur
L100000200176,way/386153973-765,Dharmapuri
L100000200177,way/386153973-765,Dharmapuri
L100000200178,way/293597835-765,Solapur
L100000200179,way/420797421-765,Sikandarabad
L100000200180,way/420797421-765,Sikandarabad
L100000200181,way/293597835-765,Solapur
L100000200182,way/293597835-765,Solapur
L100000200183,way/311118424-765,Fatehpur
L100000200184,way/420797421-765,Sikandarabad
L100000200185,way/420797421-765,Sikandarabad
L100000200186,way/420797421-765,Sikandarabad
L100000200633,way/293597835-765,Solapur
L100000200634,way/293597835-765,Solapur
L100000200635,way/201845280-765,Wardha
L100000200636,way/386153973-765,Dharmapuri
L100000200637,way/386153973-765,Dharmapuri
L100000200639,way/293597835-765,Solapur
L100000200640,way/293597835-765,Solapur
L100000500044,way/331275940-765,Vadodara
L100000500108,way/386153973-765,Dharmapuri
L100000500164,way/369866141-765,Jaipur
L100000500186,way/201845280-765,Wardha
L100000500206,way/386153973-765,Dharmapuri
L100000500218,way/386153973-765,Dharmapuri
L100000500219,way/420797421-765,Sikandarabad
L100000500220,way/293597835-765,Solapur
L100000500278,way/420797421-765,Sikandarabad
L100000500287,way/353914865-765,Korba
L100000500288,way/331275940-765,Vadodara
L100000500289,way/420797421-765,Sikandarabad
L100000500290,way/293597835-765,Solapur
L100001019036,way/420797421-765,Sikandarabad
L100001019039,way/386153973-765,Dharmapuri
L100001019040,way/386153973-765,Dharmapuri
L100001019045,way/201845280-765,Wardha
L100001019052,way/386153973-765,Dharmapuri
L100001019064,way/420797421-765,Sikandarabad
L100001047005,way/420797421-765,Sikandarabad
L100001047007,way/293597835-765,Solapur
L100001047008,way/386153973-765,Dharmapuri
L100001047009,way/386153973-765,Dharmapuri
L100001047010,way/386153973-765,Dharmapuri
L100001047014,way/293597835-765,Solapur
L100001047016,way/293597835-765,Solapur
L100001047017,way/386153973-765,Dharmapuri
L100001047019,way/386153973-765,Dharmapuri
L100001047020,way/315823978-765,Kurnool
L100001047123,way/293597835-765,Solapur
L100001047124,way/293597835-765,Solapur
L100001047125,way/201845280-765,Wardha
L100001047127,way/386153973-765,Dharmapuri
L100001047128,way/420797421-765,Sikandarabad
L100001047129,way/372701897-765,Moga
L100001047130,way/372701897-765,Moga
L100001047135,way/372701897-765,Moga
L100001047138,way/386153973-765,Dharmapuri
L100001047140,way/315823978-765,Kurnool
L100001047141,way/420797421-765,Sikandarabad
L100001047143,way/420797421-765,Sikandarabad
L100001047144,way/420797421-765,Sikandarabad
L100001047145,way/420797421-765,Sikandarabad
L100001047146,way/420797421-765,Sikandarabad
L100001047152,way/201845280-765,Wardha
L100001047153,way/201845280-765,Wardha
L100001047154,way/386153973-765,Dharmapuri
L100001047155,way/315823978-765,Kurnool
L100001047157,way/353914865-765,Korba
L100001047159,way/420797421-765,Sikandarabad
L100001047160,way/420797421-765,Sikandarabad
L100001047161,way/420797421-765,Sikandarabad
L100001047162,way/420797421-765,Sikandarabad
L100001047168,way/372701897-765,Moga
L100001047169,way/372701897-765,Moga
L100001047172,way/420797421-765,Sikandarabad
L100001047173,way/372701897-765,Moga
L100001047174,way/420797421-765,Sikandarabad
L100001047175,way/1143180503-765,Phalodi
L100001047176,way/420797421-765,Sikandarabad
L100001047177,way/1143180503-765,Phalodi
L100001047178,way/369866141-765,Jaipur
L100001047191,way/420797421-765,Sikandarabad
L100001047192,way/293597835-765,Solapur
L100001047193,way/372701897-765,Moga
L100001047195,way/311118424-765,Fatehpur
L100001047196,way/420797421-765,Sikandarabad
L100001047236,way/293597835-765,Solapur
L100001047240,way/386153973-765,Dharmapuri
L100001047241,way/353914865-765,Korba
L100001047243,way/315823978-765,Kurnool
L100001047247,way/315823978-765,Kurnool
L100001047248,way/386153973-765,Dharmapuri
L100001047249,way/353914865-765,Korba
L100001047258,way/315823978-765,Kurnool
L100001047260,way/315823978-765,Kurnool
L100001047268,way/688672711-765,Bhuj
L100001047269,way/420797421-765,Sikandarabad
L100001047270,way/369866141-765,Jaipur
L100001047272,way/293597835-765,Solapur
L100001047275,way/293597835-765,Solapur
L100001047277,way/293597835-765,Solapur
L100001047295,way/386153973-765,Dharmapuri
L100001047296,way/420797421-765,Sikandarabad
L100001047297,way/311118424-765,Fatehpur
L100001047299,way/315823978-765,Kurnool
L100001047301,way/386153973-765,Dharmapuri
L100001047302,way/386153973-765,Dharmapuri
L100001047303,way/420797421-765,Sikandarabad
L100001047304,way/201845280-765,Wardha
L100001047305,way/386153973-765,Dharmapuri
L100001047307,way/420797421-765,Sikandarabad
L100001047318,way/386153973-765,Dharmapuri
L100001047320,way/353914865-765,Korba
L100001047321,way/420797421-765,Sikandarabad
L100001047323,way/420797421-765,Sikandarabad
L100001047325,way/420797421-765,Sikandarabad
L100001047327,way/386153973-765,Dharmapuri
L100001047328,way/331275940-765,Vadodara
L100001047354,way/386153973-765,Dharmapuri
L100001047355,way/386153973-765,Dharmapuri
L100001047357,way/372701897-765,Moga
L100001047359,way/372701897-765,Moga
L100001047360,way/372701897-765,Moga
L100001047362,way/372701897-765,Moga
L100001047363,way/293597835-765,Solapur
L100001047365,way/293597835-765,Solapur
L100001047366,way/293597835-765,Solapur
L100001047367,way/353914865-765,Korba
L100001047368,way/201845280-765,Wardha
L100001047369,way/369866141-765,Jaipur
L100001047371,way/386153973-765,Dharmapuri
L100001047372,way/201845280-765,Wardha
L100001047373,way/420797421-765,Sikandarabad
L100001047374,way/311118424-765,Fatehpur
L100001047375,way/311118424-765,Fatehpur
L100001047411,way/420797421-765,Sikandarabad
L100001047412,way/201845280-765,Wardha
L100001047413,way/201845280-765,Wardha
L100001047414,way/353914865-765,Korba
L100001047415,way/353914865-765,Korba
L100001047416,way/201845280-765,Wardha
L100001047417,way/311118424-765,Fatehpur
L100001047418,way/331275940-765,Vadodara
L100001047419,way/386153973-765,Dharmapuri
L100001047420,way/201845280-765,Wardha
L100001047423,way/201845280-765,Wardha
L100001047424,way/293597835-765,Solapur
L100001047430,way/386153973-765,Dharmapuri
L100001047436,way/315823978-765,Kurnool
L100001047437,way/372701897-765,Moga
L100001047439,way/420797421-765,Sikandarabad
L100001047443,way/293597835-765,Solapur
L100001047533,way/293597835-765,Solapur
L100000407594,way/203673991-400,Tezpur
L100000408400,way/331275940-765,Vadodara
L100000401464,way/369866141-765,Jaipur
L100000408399,way/386153973-765,Dharmapuri
L100000407355,way/203673991-400,Tezpur
L100000401466,way/420797421-765,Sikandarabad
L100000407604,way/203673991-400,Tezpur
L100000407143,way/331275940-765,Vadodara
L100000408398,way/386153973-765,Dharmapuri
L100000408397,way/386153973-765,Dharmapuri
L100000401465,way/420797421-765,Sikandarabad
L100000407603,way/331275940-765,Vadodara
L100000401483,way/331275940-765,Vadodara
L100000401461,way/420797421-765,Sikandarabad
L100000401471,way/331275940-765,Vadodara
L100000401463,way/420797421-765,Sikandarabad
L100000407602,way/331275940-765,Vadodara
L100000401498,IN684-765,Rajahmundry
L100000401507,IN684-765,Rajahmundry
L100000401506,IN684-765,Rajahmundry
L100000401508,IN684-765,Rajahmundry
L100000408396,way/201845280-765,Wardha
L100000408395,way/372701897-765,Moga
L100000401479,way/331275940-765,Vadodara
L100000401467,way/331275940-765,Vadodara
L100000407600,way/331275940-765,Vadodara
L100000104861,way/331275940-765,Vadodara
L100000408393,IN684-765,Rajahmundry
L100000408392,way/759521252-765,Medinipur
L100000407726,way/420797421-765,Sikandarabad
L100000407593,way/420797421-765,Sikandarabad
L100000407592,way/420797421-765,Sikandarabad
L100000401503,IN684-765,Rajahmundry
L100000401489,way/331275940-765,Vadodara
L100000401518,way/386153973-765,Dharmapuri
L100000407144,way/420797421-765,Sikandarabad
L100000407123,way/420797421-765,Sikandarabad
L100000102556,way/386153973-765,Dharmapuri
L100000401490,way/331275940-765,Vadodara
L100000407598,way/386153973-765,Dharmapuri
L100000401501,IN684-765,Rajahmundry
L100000401494,way/315823978-765,Kurnool
L100000408391,way/386153973-765,Dharmapuri
L100000401510,way/386153973-765,Dharmapuri
L100000408390,way/203673991-400,Tezpur
L100000407596,way/420797421-765,Sikandarabad
L100000407597,way/386153973-765,Dharmapuri
L100000401488,way/201845280-765,Wardha
L100000407595,way/759521252-765,Medinipur
L100000401520,way/203673991-400,Tezpur
L100000401519,way/203673991-400,Tezpur
L100000401514,way/386153973-765,Dharmapuri
L100000401482,way/331275940-765,Vadodara
L100000408389,way/353914865-765,Korba
L100000401469,way/201845280-765,Wardha
L100000401459,way/420797421-765,Sikandarabad
L100000401458,way/420797421-765,Sikandarabad
L100000401462,way/1143180503-765,Phalodi
L100000401491,way/293597835-765,Solapur
L100000407590,way/420797421-765,Sikandarabad
L100001080229,way/203673991-400,Tezpur
L100000407589,way/386153973-765,Dharmapuri
L100000401502,IN684-765,Rajahmundry
L100000401475,way/331275940-765,Vadodara
L100000401511,way/386153973-765,Dharmapuri
L100000401521,way/203673991-400,Tezpur
L100000401487,way/201845280-765,Wardha
