bus_id,grid_cell,bus_name
way/311118424-765,IND_1232,Fatehpur
way/311118424-765,IND_1230,Fatehpur
way/311118424-765,IND_1048,Fatehpur
way/420797421-765,IND_690,Sikandarabad
way/420797421-765,IND_744,Sikandarabad
way/201845280-765,IND_910,Wardha
way/420797421-765,IND_740,Sikandarabad
way/311118424-765,IND_1044,Fatehpur
way/311118424-765,IND_1183,Fatehpur
way/201845280-765,IND_791,Wardha
way/353914865-765,IND_1128,Korba
way/311118424-765,IND_1270,Fatehpur
way/209826798-765,IND_437,Indore
way/386153973-765,IND_835,Dharmapuri
way/420797421-765,IND_627,Sikandarabad
way/311118424-765,IND_1267,Fatehpur
way/420797421-765,IND_746,Sikandarabad
way/293597835-765,IND_483,Solapur
way/311118424-765,IND_1082,Fatehpur
way/311118424-765,IND_1047,Fatehpur
way/420797421-765,IND_508,Sikandarabad
way/369866141-765,IND_500,Jaipur
way/353914865-765,IND_1070,Korba
way/353914865-765,IND_1154,Korba
way/353914865-765,IND_1201,Korba
way/201845280-765,IND_610,Wardha
way/315823978-765,IND_721,Kurnool
way/386153973-765,IND_944,Dharmapuri
way/201845280-765,IND_376,Wardha
way/201845280-765,IND_430,Wardha
way/201845280-765,IND_327,Wardha
way/420797421-765,IND_963,Sikandarabad
way/353914865-765,IND_1280,Korba
way/311118424-765,IND_1158,Fatehpur
way/331275940-765,IND_201,Vadodara
way/386153973-765,IND_890,Dharmapuri
way/420797421-765,IND_924,Sikandarabad
way/353914865-765,IND_1201,Korba
way/353914865-765,IND_1155,Korba
way/353914865-765,IND_1223,Korba
way/386153973-765,IND_594,Dharmapuri
way/311118424-765,IND_971,Fatehpur
way/420797421-765,IND_677,Sikandarabad
way/369866141-765,IND_445,Jaipur
way/372701897-765,IND_400,Moga
way/315823978-765,IND_600,Kurnool
way/386153973-765,IND_713,Dharmapuri
way/201845280-765,IND_851,Wardha
way/201845280-765,IND_960,Wardha
way/353914865-765,IND_1237,Korba
way/353914865-765,wof-IND_712,Korba
IN684-765,IND_1117,Rajahmundry
IN684-765,wof-IND_642,Rajahmundry
way/311118424-765,IND_1161,Fatehpur
way/420797421-765,IND_689,Sikandarabad
way/420797421-765,IND_688,Sikandarabad
way/311118424-765,IND_1107,Fatehpur
way/353914865-765,IND_1128,Korba
way/420797421-765,IND_800,Sikandarabad
way/420797421-765,IND_805,Sikandarabad
way/386153973-765,IND_706,Dharmapuri
way/293597835-765,IND_266,Solapur
way/201845280-765,IND_228,Wardha
way/315823978-765,IND_727,Kurnool
way/315823978-765,IND_783,Kurnool
way/201845280-765,IND_159,Wardha
way/311118424-765,IND_1158,Fatehpur
way/353914865-765,IND_1069,Korba
way/420797421-765,IND_854,Sikandarabad
way/353914865-765,IND_1223,Korba
way/386153973-765,IND_886,Dharmapuri
way/420797421-765,IND_687,Sikandarabad
way/420797421-765,IND_919,Sikandarabad
way/293597835-765,IND_485,Solapur
way/369866141-765,IND_287,Jaipur
way/1143180503-765,IND_214,Phalodi
way/209826798-765,IND_284,Indore
way/1143180503-765,IND_119,Phalodi
way/688672711-765,IND_14,Bhuj
way/331275940-765,IND_112,Vadodara
way/209826798-765,IND_493,Indore
way/386153973-765,IND_830,Dharmapuri
way/759521252-765,IND_1360,Medinipur
way/420797421-765,IND_864,Sikandarabad
way/759521252-765,IND_1388,Medinipur
way/201845280-765,IND_848,Wardha
way/386153973-765,IND_983,Dharmapuri
way/386153973-765,wof-IND_575,Dharmapuri
way/315823978-765,IND_948,Kurnool
way/1143180503-765,IND_78,Phalodi
way/386153973-765,IND_983,Dharmapuri
way/386153973-765,wof-IND_575,Dharmapuri
way/420797421-765,IND_448,Sikandarabad
way/688672711-765,IND_7,Bhuj
way/688672711-765,IND_54,Bhuj
way/1143180503-765,IND_146,Phalodi
way/386153973-765,IND_707,Dharmapuri
way/315823978-765,IND_901,Kurnool
way/420797421-765,IND_864,Sikandarabad
way/688672711-765,IND_16,Bhuj
way/420797421-765,IND_750,Sikandarabad
way/420797421-765,IND_867,Sikandarabad
way/353914865-765,IND_1155,Korba
way/372701897-765,IND_405,Moga
way/311118424-765,IND_1105,Fatehpur
way/311118424-765,IND_1044,Fatehpur
way/311118424-765,IND_1105,Fatehpur
way/311118424-765,IND_1076,Fatehpur
way/311118424-765,IND_918,Fatehpur
way/311118424-765,IND_1010,Fatehpur
way/311118424-765,IND_1076,Fatehpur
way/311118424-765,IND_1044,Fatehpur
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_1105,Fatehpur
way/311118424-765,IND_1105,Fatehpur
way/311118424-765,IND_1044,Fatehpur
way/420797421-765,IND_687,Sikandarabad
way/209826798-765,IND_437,Indore
way/420797421-765,IND_623,Sikandarabad
way/331275940-765,IND_236,Vadodara
way/311118424-765,IND_1010,Fatehpur
way/420797421-765,IND_860,Sikandarabad
way/311118424-765,IND_1044,Fatehpur
way/311118424-765,IND_918,Fatehpur
way/311118424-765,IND_1044,Fatehpur
way/420797421-765,IND_803,Sikandarabad
way/420797421-765,IND_803,Sikandarabad
way/420797421-765,IND_803,Sikandarabad
way/420797421-765,IND_860,Sikandarabad
way/353914865-765,IND_1261,Korba
way/311118424-765,IND_1132,Fatehpur
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_1075,Fatehpur
way/311118424-765,IND_1132,Fatehpur
way/311118424-765,IND_1132,Fatehpur
way/311118424-765,IND_1132,Fatehpur
way/311118424-765,IND_1133,Fatehpur
way/311118424-765,IND_1133,Fatehpur
way/311118424-765,IND_1076,Fatehpur
way/311118424-765,IND_1105,Fatehpur
way/311118424-765,IND_1132,Fatehpur
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_1075,Fatehpur
way/311118424-765,IND_1075,Fatehpur
way/311118424-765,IND_1075,Fatehpur
way/311118424-765,IND_1158,Fatehpur
way/420797421-765,IND_623,Sikandarabad
way/420797421-765,IND_623,Sikandarabad
way/420797421-765,IND_623,Sikandarabad
way/420797421-765,IND_745,Sikandarabad
way/331275940-765,IND_236,Vadodara
way/331275940-765,IND_236,Vadodara
way/353914865-765,IND_1222,Korba
way/353914865-765,IND_1221,Korba
way/353914865-765,IND_1223,Korba
way/311118424-765,IND_1107,Fatehpur
way/420797421-765,IND_623,Sikandarabad
way/420797421-765,IND_623,Sikandarabad
way/311118424-765,IND_1042,Fatehpur
way/311118424-765,IND_1042,Fatehpur
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_971,Fatehpur
way/311118424-765,IND_1013,Fatehpur
way/420797421-765,IND_972,Sikandarabad
way/420797421-765,IND_566,Sikandarabad
way/420797421-765,IND_627,Sikandarabad
way/420797421-765,IND_566,Sikandarabad
way/420797421-765,IND_566,Sikandarabad
way/420797421-765,IND_920,Sikandarabad
way/420797421-765,IND_863,Sikandarabad
way/420797421-765,IND_920,Sikandarabad
way/353914865-765,IND_1261,Korba
way/353914865-765,IND_1261,Korba
way/353914865-765,IND_1261,Korba
way/353914865-765,IND_1280,Korba
way/311118424-765,IND_1161,Fatehpur
way/311118424-765,IND_1161,Fatehpur
way/420797421-765,IND_448,Sikandarabad
way/420797421-765,IND_863,Sikandarabad
way/420797421-765,IND_805,Sikandarabad
way/353914865-765,IND_1128,Korba
way/201845280-765,IND_272,Wardha
way/420797421-765,IND_860,Sikandarabad
way/420797421-765,IND_920,Sikandarabad
way/420797421-765,IND_860,Sikandarabad
way/420797421-765,IND_801,Sikandarabad
way/420797421-765,IND_801,Sikandarabad
way/331275940-765,IND_201,Vadodara
way/420797421-765,IND_964,Sikandarabad
way/353914865-765,IND_1178,Korba
way/420797421-765,IND_920,Sikandarabad
way/420797421-765,IND_860,Sikandarabad
way/420797421-765,IND_860,Sikandarabad
way/353914865-765,IND_1128,Korba
way/353914865-765,IND_1128,Korba
way/420797421-765,IND_854,Sikandarabad
way/420797421-765,IND_964,Sikandarabad
way/353914865-765,IND_1223,Korba
way/311118424-765,IND_1158,Fatehpur
way/311118424-765,IND_1158,Fatehpur
way/315823978-765,IND_836,Kurnool
way/315823978-765,IND_777,Kurnool
IN684-765,IND_1117,Rajahmundry
way/420797421-765,IND_687,Sikandarabad
IN684-765,IND_1117,Rajahmundry
way/1143180503-765,IND_118,Phalodi
way/1143180503-765,IND_118,Phalodi
way/1143180503-765,IND_118,Phalodi
way/1143180503-765,IND_118,Phalodi
way/1143180503-765,IND_96,Phalodi
way/1143180503-765,IND_78,Phalodi
way/1143180503-765,IND_118,Phalodi
way/386153973-765,IND_649,Dharmapuri
way/386153973-765,IND_709,Dharmapuri
way/386153973-765,IND_649,Dharmapuri
way/420797421-765,IND_626,Sikandarabad
way/420797421-765,IND_626,Sikandarabad
way/1143180503-765,IND_146,Phalodi
way/1143180503-765,IND_118,Phalodi
way/420797421-765,IND_689,Sikandarabad
way/420797421-765,IND_812,Sikandarabad
way/420797421-765,IND_449,Sikandarabad
way/293597835-765,IND_423,Solapur
way/311118424-765,IND_1159,Fatehpur
way/420797421-765,IND_507,Sikandarabad
way/311118424-765,IND_1107,Fatehpur
way/311118424-765,IND_1107,Fatehpur
way/311118424-765,IND_1046,Fatehpur
way/311118424-765,IND_1047,Fatehpur
way/311118424-765,IND_1012,Fatehpur
way/311118424-765,IND_1012,Fatehpur
way/420797421-765,IND_971,Sikandarabad
way/420797421-765,IND_921,Sikandarabad
way/420797421-765,IND_921,Sikandarabad
way/420797421-765,IND_921,Sikandarabad
way/311118424-765,IND_1012,Fatehpur
way/420797421-765,IND_807,Sikandarabad
way/420797421-765,IND_807,Sikandarabad
way/420797421-765,IND_807,Sikandarabad
way/420797421-765,IND_807,Sikandarabad
way/311118424-765,IND_1043,Fatehpur
way/311118424-765,IND_971,Fatehpur
way/331275940-765,IND_279,Vadodara
way/420797421-765,IND_860,Sikandarabad
way/311118424-765,IND_1132,Fatehpur
way/353914865-765,IND_1154,Korba
way/353914865-765,IND_1222,Korba
way/311118424-765,IND_1079,Fatehpur
way/353914865-765,IND_1242,Korba
way/420797421-765,IND_972,Sikandarabad
way/420797421-765,IND_972,Sikandarabad
way/420797421-765,IND_627,Sikandarabad
way/201845280-765,IND_228,Wardha
way/420797421-765,IND_863,Sikandarabad
way/420797421-765,IND_805,Sikandarabad
way/311118424-765,IND_1107,Fatehpur
way/420797421-765,IND_863,Sikandarabad
way/311118424-765,IND_1158,Fatehpur
way/315823978-765,IND_777,Kurnool
way/311118424-765,IND_1012,Fatehpur
way/1143180503-765,IND_78,Phalodi
way/1143180503-765,IND_118,Phalodi
way/1143180503-765,IND_118,Phalodi
way/386153973-765,IND_708,Dharmapuri
way/386153973-765,IND_708,Dharmapuri
way/369866141-765,IND_393,Jaipur
way/420797421-765,IND_626,Sikandarabad
way/420797421-765,IND_626,Sikandarabad
way/420797421-765,IND_507,Sikandarabad
way/311118424-765,IND_1107,Fatehpur
way/311118424-765,IND_1047,Fatehpur
way/311118424-765,IND_1012,Fatehpur
way/420797421-765,IND_971,Sikandarabad
way/311118424-765,IND_1012,Fatehpur
way/420797421-765,IND_971,Sikandarabad
way/420797421-765,IND_921,Sikandarabad
way/420797421-765,IND_921,Sikandarabad
way/420797421-765,IND_921,Sikandarabad
way/420797421-765,IND_807,Sikandarabad
way/420797421-765,IND_807,Sikandarabad
way/420797421-765,IND_807,Sikandarabad
way/311118424-765,IND_1396,Fatehpur
way/203673991-400,IND_1510,Tezpur
way/311118424-765,IND_1426,Fatehpur
way/203673991-400,IND_1481,Tezpur
way/203673991-400,IND_1546,Tezpur
way/203673991-400,IND_1557,Tezpur
way/203673991-400,IND_1508,Tezpur
way/311118424-765,IND_1426,Fatehpur
way/203673991-400,IND_1486,Tezpur
way/203673991-400,IND_1479,Tezpur
way/203673991-400,IND_1540,Tezpur
way/203673991-400,IND_1542,Tezpur
way/311118424-765,IND_1448,Fatehpur
way/203673991-400,IND_1529,Tezpur
way/203673991-400,IND_1545,Tezpur
way/203673991-400,IND_1443,Tezpur
way/311118424-765,IND_1416,Fatehpur
way/311118424-765,IND_1448,Fatehpur
way/203673991-400,IND_1559,Tezpur
way/203673991-400,IND_1545,Tezpur
way/203673991-400,IND_1461,Tezpur
way/203673991-400,IND_1457,Tezpur
way/311118424-765,IND_1232,Fatehpur
way/311118424-765,IND_1292,Fatehpur
way/311118424-765,IND_1291,Fatehpur
way/311118424-765,IND_1367,Fatehpur
way/311118424-765,IND_1308,Fatehpur
way/311118424-765,IND_1290,Fatehpur
way/311118424-765,IND_1230,Fatehpur
way/759521252-765,IND_1336,Medinipur
way/311118424-765,IND_1304,Fatehpur
way/311118424-765,IND_1189,Fatehpur
way/311118424-765,IND_1353,Fatehpur
way/311118424-765,IND_1270,Fatehpur
way/311118424-765,IND_1305,Fatehpur
way/311118424-765,IND_1229,Fatehpur
way/311118424-765,IND_1377,Fatehpur
way/311118424-765,IND_1161,Fatehpur
way/311118424-765,IND_1309,Fatehpur
way/311118424-765,IND_1324,Fatehpur
way/311118424-765,IND_1380,Fatehpur
way/311118424-765,IND_1229,Fatehpur
way/311118424-765,IND_1248,Fatehpur
way/311118424-765,IND_1274,Fatehpur
way/311118424-765,IND_1268,Fatehpur
way/311118424-765,IND_1290,Fatehpur
way/311118424-765,IND_1293,Fatehpur
way/311118424-765,IND_1341,Fatehpur
way/311118424-765,IND_1186,Fatehpur
way/311118424-765,IND_1308,Fatehpur
way/311118424-765,IND_1308,Fatehpur
way/311118424-765,IND_1288,Fatehpur
way/311118424-765,IND_1291,Fatehpur
way/311118424-765,IND_1269,Fatehpur
way/311118424-765,IND_1230,Fatehpur
way/311118424-765,IND_1380,Fatehpur
way/311118424-765,IND_1352,Fatehpur
way/311118424-765,IND_1270,Fatehpur
way/311118424-765,IND_1353,Fatehpur
way/311118424-765,,Fatehpur
way/311118424-765,IND_1341,Fatehpur
way/311118424-765,IND_1377,Fatehpur
way/311118424-765,IND_1378,Fatehpur
way/311118424-765,IND_1365,Fatehpur
way/311118424-765,IND_1311,Fatehpur
way/311118424-765,IND_1311,Fatehpur
way/311118424-765,IND_1341,Fatehpur
way/688672711-765,IND_0,Bhuj
way/688672711-765,IND_1,Bhuj
way/688672711-765,IND_2,Bhuj
way/688672711-765,IND_3,Bhuj
way/688672711-765,IND_4,Bhuj
way/688672711-765,IND_5,Bhuj
way/688672711-765,IND_6,Bhuj
way/688672711-765,IND_8,Bhuj
way/688672711-765,IND_9,Bhuj
way/688672711-765,IND_10,Bhuj
way/688672711-765,IND_11,Bhuj
way/688672711-765,IND_12,Bhuj
way/688672711-765,IND_13,Bhuj
way/688672711-765,IND_15,Bhuj
way/1143180503-765,IND_17,Phalodi
way/1143180503-765,IND_18,Phalodi
way/1143180503-765,IND_19,Phalodi
way/688672711-765,IND_20,Bhuj
way/688672711-765,IND_21,Bhuj
way/688672711-765,IND_22,Bhuj
way/688672711-765,IND_23,Bhuj
way/688672711-765,IND_24,Bhuj
way/688672711-765,IND_25,Bhuj
way/688672711-765,IND_26,Bhuj
way/688672711-765,IND_27,Bhuj
way/1143180503-765,IND_28,Phalodi
way/1143180503-765,IND_29,Phalodi
way/1143180503-765,IND_30,Phalodi
way/1143180503-765,IND_31,Phalodi
way/1143180503-765,IND_32,Phalodi
way/688672711-765,IND_33,Bhuj
way/688672711-765,IND_34,Bhuj
way/688672711-765,IND_35,Bhuj
way/688672711-765,IND_36,Bhuj
way/688672711-765,IND_37,Bhuj
way/688672711-765,IND_38,Bhuj
way/688672711-765,IND_39,Bhuj
way/688672711-765,IND_40,Bhuj
way/688672711-765,IND_41,Bhuj
way/1143180503-765,IND_42,Phalodi
way/1143180503-765,IND_43,Phalodi
way/1143180503-765,IND_44,Phalodi
way/1143180503-765,IND_45,Phalodi
way/1143180503-765,IND_46,Phalodi
way/1143180503-765,IND_47,Phalodi
way/688672711-765,IND_48,Bhuj
way/688672711-765,IND_49,Bhuj
way/688672711-765,IND_50,Bhuj
way/688672711-765,IND_51,Bhuj
way/688672711-765,IND_52,Bhuj
way/688672711-765,IND_53,Bhuj
way/688672711-765,IND_55,Bhuj
way/688672711-765,IND_56,Bhuj
way/331275940-765,IND_57,Vadodara
way/1143180503-765,IND_58,Phalodi
