bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/66098469-500,way/66098469,500.0,f,Substation,f,way/66098469,138.8017704353611,36.62315955118885,JP
way/87538349-500,way/87538349,500.0,f,Substation,f,way/87538349,133.95401090047395,34.16492140881175,JP
way/102958903-500,way/102958903,500.0,f,Substation,f,way/102958903,133.86250228190178,34.302173069560816,JP
way/104173570-500,way/104173570,500.0,f,Substation,f,way/104173570,141.02183643624105,37.3162188924916,JP
way/104391636-500,way/104391636,500.0,f,Substation,f,way/104391636,140.72295560659705,37.14185093165294,JP
way/104530060-500,way/104530060,500.0,f,Substation,f,way/104530060,139.91772358683002,36.65527049556583,JP
way/105298089-500,way/105298089,500.0,f,Substation,f,way/105298089,140.45810292549854,35.865258454640866,JP
way/106076988-500,way/106076988,500.0,f,Substation,f,way/106076988,140.84893075302352,38.60477686579688,JP
way/106309481-500,way/106309481,500.0,f,Substation,f,way/106309481,140.96068542100087,37.35942556447298,JP
way/109834508-500,way/109834508,500.0,f,Substation,f,way/109834508,135.5869410880657,34.40251299203287,JP
way/109850439-500,way/109850439,500.0,f,Substation,f,way/109850439,135.50211531023922,34.213923715840174,JP
way/110682956-500,way/110682956,500.0,f,Substation,f,way/110682956,135.3461014713138,34.98422278025548,JP
way/116559939-500,way/116559939,500.0,f,Substation,f,way/116559939,137.70854060707654,35.07143216942076,JP
way/128581912-500,way/128581912,500.0,f,Substation,f,way/128581912,139.4364465197805,35.96203783549611,JP
way/132913106-500,way/132913106,500.0,f,Substation,f,way/132913106,139.90353088187334,36.16713027496852,JP
way/133641619-500,way/133641619,500.0,f,Substation,f,way/133641619,139.37072375217352,35.92872816524921,JP
way/133644487-500,way/133644487,500.0,f,Substation,f,way/133644487,139.2395426018468,35.851788162102174,JP
way/142662111-500,way/142662111,500.0,f,Substation,f,way/142662111,137.7290893259977,35.16227288679735,JP
way/145079972-500,way/145079972,500.0,f,Substation,f,way/145079972,139.22338930422998,35.71470374426972,JP
way/149843487-500,way/149843487,500.0,f,Substation,f,way/149843487,139.2256686206302,35.400444620287395,JP
way/150035494-500,way/150035494,500.0,f,Substation,f,way/150035494,138.79989115700727,35.590726684810875,JP
way/150065045-500,way/150065045,500.0,f,Substation,f,way/150065045,138.96317390902462,35.372238518852974,JP
