GEM location ID,bus_id
L100000500067,way/186510275-500
L100000500017,JP219-500
L100000500079,way/1028554758-500
L100000500146,way/1037299172-500
L100000500018,JP21-500
L100000500155,way/1029010255-500
L100000500066,JP116-500
L100000500020,JP9-500
L100000500157,way/106076988-500
L100000500145,JP306-500
L100000500019,JP25-500
L100000500021,JP117-500
L100000500147,JP121-500
L100000500078,way/168839127-500
L100000500144,JP4-275
L100000500071,way/1029010255-500
L100000200063,way/170247312-500
L100000200646,way/170247312-500
L100000408740,way/241822631-500
L100000200093,JP248-500
L100000200043,way/201293312-500
L100000200057,way/169122898-500
L100000200075,way/204258596-500
L100000200648,way/106076988-500
L100000104855,way/171066843-500
L100000200649,way/168839127-500
L100000200650,way/104391636-500
L100000200651,way/242103532-500
L100000200040,relation/17013811-500
L100001019387,way/151379730-500
L100000102958,JP10-500
L100000200653,way/170247312-500
L100000200654,way/169122898-500
L100000200655,way/169122898-500
L100000104537,way/187988970-500
L100000200068,way/241822631-500
L100000200034,JP178-500
L100000200035,JP296-500
L100000200058,way/151379730-500
L100000200097,way/151379730-500
L100000200658,way/242253500-500
L100000200659,way/185029969-500
L100000200660,relation/2269992-500
L100000200661,way/187988970-500
L100000200662,way/505170104-500
L100000200663,way/179863079-275
L100000200664,way/106076988-500
L100000102948,way/106076988-500
L100000200666,way/106076988-500
L100000200667,JP28-500
L100000200047,way/104391636-500
L100000104803,way/193544791-500
L100000102949,way/659138214-500
L100000200061,way/105298089-500
L100000200670,way/105298089-500
L100000200066,way/315461259-500
L100000200672,way/187988970-500
L100000200077,way/187988970-500
L100000200673,way/168839127-500
L100000200094,JP267-500
L100000200674,relation/2269992-500
L100000102966,way/106076988-500
L100000200092,way/169359724-500
L100000200676,JP120-500
L100000104800,way/171066843-500
L100000102894,way/405626236-500
L100000200680,way/105298089-500
L100000200681,way/179863079-275
L100000200072,JP5-275
L100000200073,JP306-500
L100000200074,JP306-500
L100000200682,JP19-500
L100000200683,way/241822631-500
L100000200684,way/187988970-500
L100000200026,JP21-500
L100000200083,way/105298089-500
L100000200685,way/179863079-275
L100000200686,way/150065045-500
L100000200031,JP219-500
L100000200036,way/1037299172-500
L100000104731,way/315618377-500
L100000200687,way/216778426-500
L100000200688,way/102958903-500
L100000200689,way/106076988-500
L100000200690,JP7-275
L100000200091,way/785319805-500
L100000200024,way/785319805-500
L100000200692,way/187988970-500
L100000200045,JP107-500
L100000200693,JP107-500
L100000200695,JP5-275
L100000200032,way/211412000-500
L100000200697,way/317511904-500
L100000102876,way/150065045-500
L100000200699,way/150065045-500
L100000200076,way/170247312-500
L100000200700,way/170247312-500
L100000200065,way/170247312-500
L100000200096,way/307942220-500
L100000200025,JP7-275
L100000200062,relation/11529219-500
L100000200701,way/1037516198-500
L100000200702,way/291678103-500
L100000200098,way/216502300-500
L100000200060,way/170537514-500
L100000200064,way/317511904-500
L100001019383,JP7-275
L100000200704,JP7-275
L100000102913,way/241822631-500
L100000408905,JP248-500
L100000405145,way/211412000-500
L100000408463,way/170247312-500
L100000408462,way/201293312-500
L100000405146,way/151379730-500
L100000102920,way/211412000-500
L100000405148,way/169122898-500
L100000405149,way/170537514-500
L100000408466,JP5-275
L100000408465,way/315618377-500
L100000408464,way/242103532-500
L100000405150,way/169359724-500
L100000405151,way/315461259-500
L100000408467,way/1037516198-500
L100000405152,JP10-500
L100000405153,way/187988970-500
L100000405154,JP21-500
L100000405155,JP110-500
L100000405156,JP175-500
L100000405157,JP175-500
L100000405158,JP175-500
L100000408894,JP23-500
L100000405159,way/168839127-500
L100000405160,way/151379730-500
L100000405161,way/179863079-275
L100000408469,JP306-500
L100000407686,way/151379730-500
L100000408470,JP21-500
L100000407833,JP21-500
L100000405163,JP21-500
L100000405162,relation/2269992-500
L100000408471,way/105298089-500
L100000407684,way/105298089-500
L100000405164,way/105298089-500
L100000405165,way/170537514-500
L100000405166,relation/2269992-500
L100000405167,JP110-500
L100000406381,way/151379730-500
L100000408475,way/315461259-500
L100000408473,way/242103532-500
L100000408476,JP306-500
L100000405168,way/315461259-500
L100000408477,JP110-500
L100000407720,way/242103532-500
L100000405170,way/168839127-500
L100000409283,relation/2269992-500
L100000405171,way/211412000-500
L100000405172,way/169359724-500
L100000408480,way/315461259-500
L100000407683,JP21-500
L100000407688,way/171066843-500
L100000405173,way/170537514-500
L100000102903,JP5-275
L100000405174,way/315461259-500
L100000408483,way/216778426-500
L100000408482,JP7-275
L100000408484,way/168839127-500
L100000405175,way/169359724-500
L100000405176,way/102958903-500
L100000405177,way/109834508-500
L100000104730,way/785319805-500
L100000405179,way/151379730-500
L100000405180,way/187988970-500
L100000405181,way/211412000-500
L100000405182,way/216778426-500
L100000405183,way/785319805-500
L100000407690,JP101-500
L100000405184,way/169122898-500
L100000405185,relation/2269992-500
L100000408487,JP8-275
L100000408486,way/211412000-500
L100000405186,way/211412000-500
L100000405187,way/901872431-500
L100000407689,way/151379730-500
L100000405188,JP175-500
L100000405189,way/242103532-500
L100000102945,way/187988970-500
L100000405190,way/211412000-500
L100000407691,way/315461259-500
L100000408489,JP7-275
L100000405191,way/169359724-500
L100000102878,relation/17013811-500
L100000408491,relation/17013811-500
L100000408490,way/291678103-500
L100000405194,way/242253500-500
L100000408492,way/170537514-500
L100000405195,way/170537514-500
L100000405196,way/315461259-500
L100000405197,JP306-500
L100000102912,way/241822631-500
L100000102880,way/242253500-500
L100000104622,way/193544791-500
L100000102933,JP306-500
L100000102959,way/156208858-500
L100000102870,way/169122898-500
L100000102934,way/187988970-500
L100000102974,way/242253500-500
L100000102914,way/241822631-500
L100000102961,JP23-500
L100000102921,way/168839127-500
L100000102922,way/168839127-500
L100000104856,way/242253500-500
L100000102935,JP306-500
L100000102924,way/315461259-500
L100000102871,relation/17013811-500
L100000102952,JP248-500
L100000102882,way/170974371-500
L100000102963,way/174636874-500
L100000102925,way/105298089-500
L100000102936,way/187988970-500
L100000104889,way/105298089-500
L100000102937,JP306-500
L100000102915,way/170605907-500
L100000102930,way/172907196-500
L100000104753,way/104391636-500
L100000102899,JP6-275
L100000102900,JP6-275
L100000102917,JP120-500
L100000102938,JP269-500
L100000102940,JP269-500
L100000102939,JP269-500
L100000104759,way/242253500-500
L100000102872,way/170537514-500
L100000102941,way/405626236-500
L100000102883,way/317416612-500
L100000102898,way/170974371-500
L100000104801,way/187988970-500
L100000102884,way/242103532-500
L100000102873,way/169122898-500
L100000102902,way/179863079-275
L100000102967,way/104391636-500
L100000102875,relation/17013811-500
L100000102886,way/242253500-500
L100000102953,way/171066843-500
L100000102928,way/105298089-500
L100000102942,way/216778426-500
L100000102950,JP296-500
L100000102910,way/174636874-500
L100000102954,way/172907196-500
L100000102887,way/170974371-500
L100000102888,way/170974371-500
L100000102944,JP292-500
L100000102955,way/171066843-500
L100000102969,way/106076988-500
L100000102964,way/785319805-500
L100000102956,JP248-500
L100000102889,way/204258596-500
L100000102970,way/901872439-500
L100000102947,way/170537514-500
L100000102965,way/901872439-500
L100000102905,way/179863079-275
L100000104857,JP8-275
L100000104858,way/133641619-500
L100000102918,JP175-500
L100000102891,way/170974371-500
L100000102877,way/169122898-500
L100000102874,way/170537514-500
L100000102890,way/242253500-500
L100000104538,way/242253500-500
L100000102907,JP7-275
L100000102957,way/171066843-500
L100000102879,way/1029010255-500
L100000104624,way/204258596-500
L100000104623,way/204258596-500
L100000105019,way/204258596-500
L100000102932,way/216502300-500
L100000102929,way/315461259-500
L100000900706,way/174636874-500
L100000900708,way/106076988-500
L100000900714,way/174636874-500
L100000900715,way/174636874-500
L100000900716,way/174636874-500
L100000900720,JP191-500
L100000900721,JP191-500
L100000900723,JP191-500
L100000900724,JP191-500
L100000900725,way/174636874-500
L100000900731,JP219-500
L100000900736,way/1030329139-500
L100000900737,way/105298089-500
L100000900738,way/174636874-500
L100000900739,JP249-500
L100000900740,way/210090094-500
L100000900741,way/315618377-500
L100000900742,way/714627759-500
L100000900743,way/169031998-500
L100000900744,way/1037299172-500
L100000900746,way/1037299172-500
L100000900754,way/106076988-500
L100000900755,JP4-275
L100000900756,way/315618377-500
L100000900757,way/253566674-500
L100000900758,way/801582512-275
L100000900759,way/1037299172-500
L100000900760,way/106076988-500
L100000900769,way/174636874-500
L100000900770,way/291678103-500
L100000900771,JP5-275
L100000900772,JP5-275
L100000900773,way/801582512-275
L100000900774,way/106076988-500
L100000900775,way/106076988-500
L100000900776,way/174636874-500
L100000900777,way/150065045-500
L100000900778,way/215451416-500
L100000900779,way/216956620-500
L100000900780,way/1028554758-500
L100000900781,way/1028554758-500
L100000900782,way/106076988-500
L100000900783,way/714627759-500
L100000900784,way/1028554758-500
