bus_id,grid_cell
way/66098469-500,JPN_191
way/87538349-500,JPN_119
way/102958903-500,JPN_119
way/102958903-500,wof-JPN_592
way/104173570-500,JPN_276
way/104173570-500,wof-JPN_1389
way/104391636-500,JPN_258
way/104530060-500,JPN_218
way/105298089-500,JPN_255
way/105298089-500,wof-JPN_1287
way/106076988-500,JPN_261
way/106309481-500,JPN_276
way/106309481-500,wof-JPN_1389
way/109834508-500,JPN_142
way/109850439-500,JPN_142
way/110682956-500,JPN_137
way/116559939-500,JPN_172
way/128581912-500,JPN_200
way/132913106-500,JPN_217
way/133641619-500,JPN_200
way/133644487-500,JPN_199
way/142662111-500,JPN_172
way/145079972-500,JPN_199
way/149843487-500,JPN_198
way/149843487-500,wof-JPN_1180
way/150035494-500,JPN_189
way/150065045-500,JPN_198
way/151379730-500,JPN_235
way/151379730-500,wof-JPN_1286
way/156208858-500,JPN_276
way/161727149-500,JPN_143
way/161870227-500,JPN_143
way/161946849-500,JPN_157
way/168727982-500,JPN_235
way/168727982-500,wof-JPN_1287
way/168839127-500,JPN_237
way/168857610-500,JPN_218
way/169031921-500,JPN_143
way/169031998-500,JPN_142
way/169122898-500,JPN_165
way/169249243-500,JPN_159
way/256682313-500,JPN_159
way/169359724-500,JPN_143
way/169963227-500,JPN_191
way/170247312-500,JPN_164
way/170366035-500,JPN_157
way/170537514-500,JPN_156
way/170568495-500,JPN_150
way/170589736-500,JPN_150
way/170605907-500,JPN_137
way/170850727-500,JPN_165
way/170974371-500,JPN_104
way/170974371-500,wof-JPN_502
way/171066843-500,JPN_111
way/171066843-500,wof-JPN_545
way/172144358-500,JPN_70
way/172601929-500,JPN_60
way/172601929-500,wof-JPN_323
way/172907196-500,JPN_103
way/172907196-500,wof-JPN_500
way/174636874-500,JPN_281
way/185029969-500,JPN_51
way/186510275-500,JPN_51
way/186510275-500,wof-JPN_291
way/187988970-500,JPN_71
way/190769051-500,JPN_157
way/193544791-500,JPN_97
way/195615141-500,JPN_190
way/201293312-500,JPN_70
way/204258596-500,JPN_83
way/209429410-500,JPN_179
way/209726348-500,JPN_180
way/210090094-500,JPN_177
way/211412000-500,JPN_235
way/211412000-500,wof-JPN_1235
way/215451416-500,JPN_67
way/215451416-500,wof-JPN_352
way/216502300-500,JPN_68
way/216778426-500,JPN_87
way/216778426-500,wof-JPN_421
way/216953915-500,JPN_78
way/216956620-500,JPN_78
way/216956620-500,wof-JPN_384
