bus0,bus1,voltage,s_nom,length,type,geometry
way/399307646-275,way/320246940-275,275.0,1843.3350719551768,31605.85,Al/St 240/40 3-bundle 300.0,"LINESTRING (111.64954456926536 1.1478145084251352, 111.65544877710899 1.1457764902548646, 111.655658 1.1457895, 111.6603178 1.1460427, 111.6639531 1.1459373, 111.6666633 1.1458849, 111.6702489 1.1457269, 111.6735215 1.1455846, 111.6777526 1.1454411, 111.6807643 1.145339, 111.6835651 1.1452846, 111.6864531 1.1451832, 111.6896091 1.145038, 111.692743 1.1449304, 111.6958791 1.1447608, 111.6991251 1.1446518, 111.701887 1.144555, 111.7047197 1.1444557, 111.7067853 1.1443833, 111.7101746 1.1442645, 111.7127945 1.1442239, 111.7166156 1.1440945, 111.7202948 1.1439411, 111.7236528 1.1438374, 111.7264617 1.1437031, 111.7289346 1.1436182, 111.7314905 1.1435304, 111.7365417 1.1433569, 111.7407016 1.143214, 111.7414909 1.1431869, 111.7430699 1.1431326, 111.745868 1.143035, 111.7478013 1.1429676, 111.7511917 1.1428493, 111.7550377 1.1427152, 111.7582724 1.1426024, 111.7620707 1.1424699, 111.7663166 1.1423218, 111.7695168 1.1422102, 111.7721384 1.1421187, 111.774854 1.1420193, 111.779132 1.141877, 111.7836756 1.1417034, 111.7870046 1.1415588, 111.7875492 1.1415388, 111.7904535 1.1414324, 111.7943024 1.1412912, 111.7967944 1.1412152, 111.7990096 1.1411476, 111.8033968 1.1410138, 111.8107987 1.1407498, 111.8145455 1.1406161, 111.8181533 1.140458, 111.8206499 1.1403708, 111.8230239 1.140288, 111.8273926 1.1401355, 111.8310838 1.140062, 111.8476762 1.1394661, 111.8560592 1.1391894, 111.8642957 1.1389152, 111.8665238 1.138841, 111.8685973 1.1400621, 111.8721349 1.1422576, 111.8733900696057 1.14303941517142, 111.87578098726937 1.1459090780012822)"
way/399307646-275,MY74-275,275.0,1843.3350719551768,29130.39,Al/St 240/40 3-bundle 300.0,"LINESTRING (111.56507999996707 1.4459435969518695, 111.56727100650771 1.4404240464994251, 111.5675038 1.4398049, 111.5684251 1.4373505, 111.5692284 1.4352403, 111.5700606 1.4330482, 111.5709108 1.4308676, 111.572146 1.427542, 111.5731941 1.4247715, 111.5744413 1.421458, 111.5755598 1.4185051, 111.5770792 1.414475, 111.5778839 1.4124398, 111.5796367 1.4077219, 111.5804954 1.4053894, 111.5818388 1.4019445, 111.5828158 1.3993086, 111.5843091 1.3953294, 111.585952 1.3907033, 111.587271 1.3870499, 111.5886329 1.3831132, 111.5898989 1.3795362, 111.5927286 1.3715153, 111.593829 1.3683834, 111.5949783 1.3651315, 111.5959526 1.3623843, 111.597519 1.3579278, 111.5981986 1.3560383, 111.5997821 1.3515499, 111.6019406 1.3454442, 111.602748 1.3430637, 111.6041213 1.3392071, 111.6053326 1.3357222, 111.6066989 1.3318773, 111.6086877 1.3262509, 111.6100986 1.3222507, 111.6116274 1.3179469, 111.6132696 1.3133629, 111.614203 1.3106646, 111.6153798 1.307302, 111.6163676 1.3045247, 111.6174009 1.301646, 111.6184496 1.2986629, 111.6192818 1.2962676, 111.620067 1.2940513, 111.621338 1.2904583, 111.6234922 1.2843683, 111.6241916 1.2823585, 111.6290192 1.2686357, 111.629754 1.2665955, 111.6311477 1.2626333, 111.6316486 1.2612093, 111.632588 1.258539, 111.6337416 1.2552593, 111.6350304 1.2515954, 111.6364149 1.2476701, 111.6371025 1.2457373, 111.6386832 1.2412938, 111.6393634 1.239382, 111.6405957 1.2359178, 111.6414458 1.2335283, 111.6427993 1.2295881, 111.6435227 1.2274021, 111.6442421 1.225516, 111.6455932 1.221644, 111.6462816 1.219671, 111.6469826 1.2176621, 111.6486312 1.2129375, 111.6500151 1.209029, 111.651409 1.2051938, 111.6521578 1.202997, 111.6536911 1.1987104, 111.6547128 1.195854, 111.6544694 1.1931523, 111.6542032 1.1901983, 111.6539269 1.1871307, 111.6536627 1.1842372, 111.6533842 1.1810874, 111.6531156 1.1780607, 111.6528236 1.1748259, 111.6525345 1.1715447, 111.6522859 1.1686011, 111.6519682 1.1650687, 111.6516998 1.1621671, 111.6513768 1.1585182, 111.6511576 1.1560408, 111.65087012116666 1.1527928830711016, 111.64954456926536 1.1478145084251352)"
way/235943019-275,way/235951698-275,275.0,1843.3350719551768,29068.48,Al/St 240/40 3-bundle 300.0,"LINESTRING (110.30148943589188 1.5594258027633334, 110.29558118659612 1.561469568232162, 110.2933117 1.5619115, 110.2905899 1.5598022, 110.2879345 1.5577564, 110.2854481 1.5558233, 110.2828003 1.553766, 110.2797914 1.5514127, 110.2775646 1.5496905, 110.2747751 1.5475348, 110.2721524 1.5455113, 110.2697116 1.54368, 110.267399 1.5418238, 110.2644374 1.5395246, 110.2616704 1.5373764, 110.2617566 1.5330377, 110.2618307 1.529305, 110.2618683 1.5272726, 110.2619534 1.5236206, 110.2620599 1.5190492, 110.2621392 1.515644, 110.2622103 1.513097, 110.2623202 1.5091579, 110.2624 1.5062977, 110.2624971 1.5028171, 110.2626354 1.4978591, 110.2627212 1.493891, 110.26285 1.4889038, 110.2629787 1.4849408, 110.2631021 1.4806561, 110.2632255 1.4761568, 110.2633226 1.4724947, 110.2634025 1.4690192, 110.2635313 1.4652975, 110.263623 1.4608041, 110.2637477 1.4570769, 110.2638075 1.4552864, 110.2651688 1.4498854, 110.2666378 1.4443245, 110.2675766 1.4406189, 110.2685636 1.4367202, 110.2701354 1.4337385, 110.2713512 1.4322839, 110.2713 1.4264117, 110.2722871 1.4225296, 110.2728808 1.4201879, 110.273592 1.4173829, 110.2760913 1.4148523, 110.2778902 1.4130308, 110.2798571 1.4110392, 110.2823783 1.4084865, 110.2847769 1.4060579, 110.2877032 1.4030949, 110.2907265 1.4000337, 110.2935232 1.3972223, 110.2951896 1.3955472, 110.2975071 1.3932176, 110.2996592 1.3910434, 110.3031865 1.38748, 110.3056492 1.3849922, 110.3087497 1.38186, 110.310548 1.3800433, 110.3123677 1.3782049, 110.314633 1.3759165, 110.3170805 1.3734439, 110.3191868 1.3712505, 110.3216915 1.3687358, 110.3221596 1.3683107, 110.3244609 1.3662207, 110.3257346 1.3656739, 110.3294786 1.3640668, 110.3332036 1.3624636, 110.3359493 1.3612819, 110.339103 1.3599246, 110.3411395 1.359052, 110.34369633562893 1.3579563121442921, 110.34969548286463 1.352574637693047)"
way/691633796-275,way/691633793-275,275.0,1843.3350719551768,16878.49,Al/St 240/40 3-bundle 300.0,"LINESTRING (113.09254054390868 3.2866835058523582, 113.09585824879926 3.280543977118984, 113.0960526 3.280155, 113.0979006 3.2765988, 113.099982 3.2726036, 113.101504 3.2702952, 113.1030676 3.2682059, 113.1055369 3.2646423, 113.1069395 3.2626506, 113.1084975 3.2605353, 113.1107774 3.2572405, 113.1120029 3.2555513, 113.114947 3.2513517, 113.1174319 3.2478792, 113.1193042 3.245195, 113.1216354 3.241915, 113.1229471 3.2400539, 113.1256238 3.23627, 113.1272507 3.2339804, 113.1287742 3.2318086, 113.1315395 3.2278479, 113.1331837 3.2255395, 113.1361502 3.2213297, 113.1379724 3.218622, 113.1401977 3.215315, 113.1427941 3.2117827, 113.1415227 3.2086147, 113.1405356 3.2062741, 113.1391489 3.2031569, 113.1383416 3.2011751, 113.1367323 3.1973964, 113.1345463 3.1921689, 113.1333232 3.1893248, 113.1318828 3.1860415, 113.1307563 3.1833715, 113.1288359 3.1789044, 113.1283852 3.1778359, 113.1264728 3.1733233, 113.1249279 3.1696918, 113.1237718 3.1669976, 113.1225622 3.164207, 113.1213069 3.1612343, 113.1195822 3.1572198, 113.11815655149351 3.1538847498332134, 113.11508121887665 3.150176624406707)"
way/513950834-275,way/236051516-275,275.0,1843.3350719551768,202659.56,Al/St 240/40 3-bundle 300.0,"LINESTRING (113.42757402796822 3.3535904190689036, 113.42193541788366 3.3589009274242065, 113.4203987 3.3599786, 113.4182704 3.3614712, 113.4193555 3.3661206, 113.4200508 3.3690996, 113.4207155 3.3716154, 113.4214853 3.3745293, 113.4222175 3.377301, 113.4261142 3.3801999, 113.43189 3.3844968, 113.4350352 3.3868367, 113.4406532 3.3910161, 113.4449095 3.3941327, 113.4478482 3.3962845, 113.4508939 3.3985147, 113.4536911 3.4005938, 113.4559445 3.4022685, 113.4575945 3.4034811, 113.45961 3.4049623, 113.4618797 3.4066473, 113.4637917 3.40804, 113.4666025 3.410152, 113.4700342 3.4126589, 113.4718972 3.4140199, 113.4746899 3.4161019, 113.4786494 3.4190962, 113.4806297 3.4204732, 113.4825942 3.4219332, 113.485119 3.4238039, 113.4874405 3.4255351, 113.4898256 3.4275447, 113.4916556 3.4289767, 113.4935502 3.4306667, 113.4958498 3.4326114, 113.4985694 3.4349421, 113.5009551 3.4369867, 113.5027828 3.4385531, 113.5043192 3.4398698, 113.5069349 3.4421049, 113.5096316 3.4443747, 113.5123111 3.4466783, 113.5147851 3.4487986, 113.5164803 3.4502515, 113.518598 3.452028, 113.5212412 3.4542772, 113.5240505 3.4566625, 113.5257237 3.4580833, 113.5292235 3.4610299, 113.5328111 3.46412, 113.5369102 3.4676113, 113.5417286 3.4717303, 113.5453538 3.4748293, 113.5478114 3.4769139, 113.5503822 3.4790946, 113.5548037 3.482845, 113.5586143 3.4861269, 113.5613821 3.4885106, 113.5653656 3.491876, 113.5677282 3.493872, 113.5705359 3.4962087, 113.5731194 3.4984121, 113.575855 3.5007451, 113.57835 3.502873, 113.580767 3.5049344, 113.58299 3.5068302, 113.5852804 3.5087809, 113.5902485 3.513012, 113.5952042 3.5172326, 113.5979077 3.5195438, 113.6006768 3.5219111, 113.6034087 3.5242465, 113.6061035 3.5265503, 113.6087708 3.5288306, 113.611466 3.531093, 113.6141733 3.5333656, 113.6168773 3.5356912, 113.6188007 3.5373454, 113.6210464 3.5392495, 113.624359 3.5420582, 113.6267794 3.5441104, 113.6312907 3.5479354, 113.6339159 3.5501691, 113.6368439 3.5526604, 113.6396339 3.5550954, 113.6423269 3.557312, 113.6485979 3.5626147, 113.6518261 3.5654116, 113.6551699 3.5683086, 113.6583438 3.571061, 113.6615744 3.5738624, 113.6647269 3.5764232, 113.6672908 3.5785058, 113.6718285 3.5821916, 113.6786574 3.5877425, 113.6844075 3.5921263, 113.6869267 3.5939766, 113.6901764 3.5964608, 113.6927631 3.5983341, 113.6950232 3.6026113, 113.6970332 3.6064077, 113.6984816 3.609288, 113.6997025 3.6119327, 113.7011967 3.6148663, 113.7026491 3.6177179, 113.7034711 3.6193316, 113.7051555 3.6226081, 113.7068008 3.6258395, 113.7077681 3.6277391, 113.7098333 3.631795, 113.7113932 3.6347529, 113.7124784 3.6367776, 113.7132932 3.6383715, 113.7147128 3.6411484, 113.71543 3.6425515, 113.716745 3.6451978, 113.717636 3.6469425, 113.7186134 3.6488594, 113.7198853 3.6512181, 113.720978 3.6533673, 113.7222678 3.6558665, 113.7236992 3.6586401, 113.7246746 3.6605302, 113.7259479 3.6629973, 113.7275362 3.6660751, 113.7291895 3.6692787, 113.730457 3.6717345, 113.732079 3.673501, 113.7358597 3.6776184, 113.7385482 3.6805463, 113.7405236 3.6826977, 113.7427421 3.6850708, 113.7447654 3.6873019, 113.7472066 3.6899937, 113.7495041 3.6924833, 113.7532586 3.6949896, 113.7567112 3.6974085, 113.7588119 3.6988467, 113.7626236 3.7014069, 113.7655161 3.7033769, 113.7671078 3.7044594, 113.7693744 3.7060024, 113.7717332 3.7076081, 113.7740193 3.7091643, 113.7764666 3.7108303, 113.7787983 3.7124175, 113.7808221 3.7137952, 113.7821868 3.7150699, 113.7848897 3.7176241, 113.787306 3.7199075, 113.7891877 3.7216857, 113.7921854 3.7245186, 113.7947752 3.7269659, 113.7960315 3.7281531, 113.7991314 3.7310825, 113.8011265 3.7329216, 113.8047271 3.7366044, 113.8070819 3.7386883, 113.8080774 3.7395692, 113.8108059 3.7433087, 113.8127606 3.7459876, 113.8148035 3.7488452, 113.8168018 3.7516405, 113.8194535 3.7553497, 113.8207239 3.7571091, 113.8230198 3.7602888, 113.8246169 3.7625006, 113.825642 3.7639203, 113.8273008 3.7662176, 113.8293218 3.769024, 113.8310845 3.7714718, 113.8335462 3.7748903, 113.8359544 3.7782344, 113.8378141 3.7808281, 113.8397366 3.7835095, 113.8407274 3.7866794, 113.8414807 3.7892501, 113.8424596 3.7924721, 113.8434702 3.795841, 113.8444163 3.7989953, 113.8453132 3.801985, 113.8460121 3.804315, 113.8468871 3.807232, 113.8477314 3.8100463, 113.8485992 3.8129392, 113.8492171 3.8149993, 113.8498907 3.8172146, 113.8505005 3.8192202, 113.8512894 3.8218152, 113.8521096 3.8245974, 113.8530117 3.8275801, 113.8537855 3.8302227, 113.8545915 3.832975, 113.8556217 3.8363125, 113.8563338 3.8386757, 113.8576444 3.8430252, 113.8588304 3.8449475, 113.8601568 3.8471271, 113.861805 3.8498357, 113.862817 3.8514988, 113.8642102 3.8537471, 113.8654538 3.8557643, 113.8664463 3.8573742, 113.8677118 3.8594892, 113.8692038 3.8619451, 113.8704248 3.8639548, 113.8725202 3.8673567, 113.8738764 3.86959, 113.8750125 3.8714608, 113.8764965 3.8739045, 113.8778637 3.8761621, 113.8796833 3.8790632, 113.8811684 3.8815335, 113.8829046 3.8842917, 113.884626 3.8871116, 113.8891007 3.8944418, 113.8908407 3.8973548, 113.891994 3.8992414, 113.8934827 3.9016444, 113.8947165 3.9036782, 113.8962493 3.9060851, 113.8975774 3.9082692, 113.8990103 3.9106761, 113.9008602 3.9137095, 113.9030811 3.917412, 113.905007 3.9205524, 113.9097227 3.9282419, 113.9112834 3.9308269, 113.9131211 3.9337043, 113.9144763 3.9360035, 113.9160574 3.9387578, 113.9194561 3.9442796, 113.9212069 3.9470292, 113.9222939 3.9488039, 113.92387 3.9514211, 113.9248458 3.9544508, 113.9260336 3.9577992, 113.9270626 3.9607284, 113.9281315 3.9638001, 113.9292704 3.9670048, 113.9303514 3.970221, 113.9313361 3.9727672, 113.9322513 3.9756002, 113.9330878 3.9779894, 113.9337357 3.9798423, 113.9349371 3.9831273, 113.9357245 3.9854237, 113.9366566 3.9880965, 113.9376479 3.9909857, 113.9389665 3.9946395, 113.9400048 3.9977578, 113.941011 4.0006028, 113.9417642 4.0027999, 113.9429587 4.0062692, 113.9438134 4.0085155, 113.9447952 4.0114517, 113.9457267 4.0141623, 113.9472322 4.0184127, 113.9480603 4.0208888, 113.9489025 4.0232594, 113.9495233 4.0249555, 113.9506834 4.0282593, 113.9518501 4.0317619, 113.952953 4.0349319, 113.9534667 4.0365134, 113.9546886 4.0398046, 113.9557596 4.0428735, 113.9569169 4.0462635, 113.9580971 4.049551, 113.9587351 4.0514058, 113.9593983 4.0533151, 113.9601727 4.0553779, 113.9614735 4.0586646, 113.9623062 4.0608075, 113.963054 4.0627305, 113.9644488 4.0663671, 113.9652943 4.0685714, 113.9662505 4.0710329, 113.9674956 4.0743965, 113.9687812 4.0775716, 113.9696711 4.0798267, 113.970722 4.0825152, 113.97173 4.0851366, 113.9727044 4.0878404, 113.9738363 4.0908475, 113.9750707 4.0938522, 113.9761146 4.0964703, 113.9775006 4.0983899, 113.9787992 4.1001885, 113.9816209 4.1040762, 113.9830865 4.1060954, 113.9847136 4.1083574, 113.9859889 4.1101303, 113.9876221 4.1123615, 113.9895948 4.1150986, 113.9914439 4.1176313, 113.9932059 4.1200123, 113.9944431 4.1217258, 113.9958023 4.1236084, 113.996877 4.1250741, 113.9990812 4.1281789, 114.0005393 4.1301876, 114.0027954 4.133263, 114.0043223 4.1353993, 114.0072398 4.1394328, 114.0092549 4.1421669, 114.0105611 4.1440991, 114.0134498 4.1478685, 114.0160716 4.1516377, 114.0177576 4.1539518, 114.0183497 4.1555962, 114.0194389 4.1586208, 114.0204588 4.1614532, 114.0214206 4.1641239, 114.0222875 4.1665313, 114.0236047 4.1701043, 114.024514 4.1726563, 114.0256364 4.1755426, 114.0276285 4.1770127, 114.0316899 4.1799728, 114.0352145 4.1825416, 114.039782 4.185956, 114.0441974 4.1890786, 114.0474869 4.1916794, 114.048882 4.1940789, 114.0506975 4.1973473, 114.0524961 4.2006403, 114.054611 4.2044089, 114.0557049 4.206428, 114.0556341 4.2091441, 114.0555042 4.2187659, 114.056103 4.2270487, 114.056375 4.230991, 114.0579646 4.2368351, 114.0583946 4.2418181, 114.0547457 4.2456346, 114.051087 4.2494134, 114.0481094 4.2525134, 114.0466958 4.2539467, 114.0432281 4.2576065, 114.0402238 4.260723, 114.0386736 4.2650421, 114.0377596 4.267495, 114.0360024 4.2720748, 114.0347199 4.2758455, 114.0354719 4.2778357, 114.036204 4.2797729, 114.0372447 4.2825272, 114.0386787 4.2863933, 114.0395304 4.2888902, 114.0410459 4.2928799, 114.0422318 4.2959878, 114.0440563 4.3009843, 114.0449156 4.3033058, 114.0446234 4.3063026, 114.0443633 4.3088672, 114.0440698 4.3119819, 114.0436894 4.3157469, 114.0433261 4.3191905, 114.043016 4.3226678, 114.0426787 4.3262373, 114.0423314 4.3297127, 114.0420028 4.3331381, 114.0416531 4.3366444, 114.0413232 4.3399515, 114.0409895 4.3432969, 114.0406574 4.346626, 114.0403253 4.349955, 114.0399966 4.3532502, 114.0396878 4.3566202, 114.0393484 4.3599238, 114.0390142 4.3632746, 114.0386755 4.3666699, 114.0383518 4.3699161, 114.0380393 4.3730493, 114.0377469 4.3762063, 114.0374167 4.3793674, 114.0370942 4.3825153, 114.0367844 4.3855388, 114.0364526 4.3889093, 114.0361758 4.3918358, 114.0358678 4.3950037, 114.0355123 4.3985501, 114.0352328 4.4014605, 114.0349916 4.4040251, 114.0346976 4.406935, 114.0344613 4.409819, 114.0342024 4.4128066, 114.033937 4.4154818, 114.0336887 4.4181725, 114.0334468 4.4209036, 114.0331668 4.4240707, 114.0328856 4.4272397, 114.0326471 4.4301035, 114.0324189 4.432657, 114.0324229 4.4361593, 114.0324049 4.4394182, 114.0324277 4.4427368, 114.0324447 4.446107, 114.0324553 4.4494565, 114.0324504 4.4527595, 114.0324711 4.4561039, 114.0325001 4.4595154, 114.0325071 4.4628907, 114.0325226 4.4662237, 114.0325182 4.4695949, 114.0325244 4.4729753, 114.03254122444517 4.474608636643908, 114.0347535756286 4.47983166446868)"
MY57-275,MY56-275,275.0,1843.3350719551768,21273.58,Al/St 240/40 3-bundle 300.0,"LINESTRING (101.64833607541678 2.798837207408375, 101.64843847737818 2.8040707516562464, 101.6499723 2.8060443, 101.6511138 2.807491, 101.653181 2.8103049, 101.6553679 2.8132549, 101.6573619 2.8159475, 101.6588051 2.8173286, 101.6601243 2.8185888, 101.662117 2.8212366, 101.6639803 2.8237248, 101.6661528 2.8266062, 101.6682664 2.8294357, 101.6702738 2.8321216, 101.6725973 2.8340982, 101.6744796 2.8356767, 101.6765554 2.8356579, 101.6800489 2.8356414, 101.6835353 2.8355825, 101.687043 2.8355542, 101.6902817 2.835566, 101.6929613 2.8355943, 101.69712 2.8355943, 101.7002715 2.8356273, 101.7030856 2.8356273, 101.7069612 2.8356461, 101.7107684 2.8356485, 101.7161962 2.835427, 101.7179936 2.8353469, 101.7216923 2.8351419, 101.7218197 2.8373471, 101.7227374 2.8373274, 101.7313644 2.837355, 101.7320073 2.8373567, 101.7380532 2.8373941, 101.7411811 2.8371944, 101.7426374 2.8372377, 101.7465588 2.8371954, 101.7497376 2.8372401, 101.7522129 2.8372901, 101.7522155 2.8359409, 101.7522867 2.8328096, 101.7522904 2.8316147, 101.7528444 2.8287244, 101.7535197 2.8252721, 101.7539428 2.8226353, 101.7539681 2.8217386, 101.7542477 2.8177569, 101.7544058 2.8155543, 101.7544767 2.8130756, 101.7547536 2.8096855, 101.7549741 2.806888, 101.75502997497402 2.8060143397440016, 101.75664789598648 2.799962065473353)"
MY34-275,MY31-275,275.0,1843.3350719551768,17707.44,Al/St 240/40 3-bundle 300.0,"LINESTRING (101.60121828580394 3.1967487519492925, 101.60135387609672 3.2030038630777242, 101.6011638 3.2036394, 101.6015077 3.2055998, 101.6019568 3.2073499, 101.6023743 3.2092385, 101.6029343 3.2120058, 101.6040196 3.2169898, 101.6052029 3.2218081, 101.6062375 3.2261299, 101.606945 3.2287023, 101.6077183 3.229422, 101.6089393 3.2305584, 101.6119818 3.2334185, 101.6147341 3.2359982, 101.6168896 3.238017, 101.6182986 3.2393092, 101.6221157 3.2417931, 101.6262489 3.2443459, 101.6277103 3.2451721, 101.6315878 3.24761, 101.6317299 3.2476993, 101.6346559 3.2525737, 101.6360101 3.2547908, 101.6376887 3.2575225, 101.6387014 3.2573767, 101.641701 3.2574122, 101.6431528 3.2573157, 101.6452433 3.2567733, 101.6468812 3.2547606, 101.6488137 3.2542474, 101.6502848 3.2538483, 101.6534208 3.2529546, 101.6550201 3.2525265, 101.6591685 3.2548659, 101.661594 3.256236, 101.6648315 3.2580894, 101.6657924 3.2586076, 101.6668619 3.2591844, 101.6691478 3.2605286, 101.6710465 3.2607529, 101.6729962 3.2609649, 101.6753073 3.2612242, 101.6782704 3.2611794, 101.6814147 3.2612587, 101.68178836112453 3.2625756508485986, 101.6831605661328 3.2668046436111378)"
MY34-275,MY41-275,275.0,1843.3350719551768,9333.86,Al/St 240/40 3-bundle 300.0,"LINESTRING (101.60121828580394 3.1967487519492925, 101.60138381671992 3.1921296868910276, 101.6013706 3.18738, 101.6013703 3.1872709, 101.6013771 3.1862674, 101.6013897 3.1844089, 101.6014017 3.1826293, 101.6015085 3.1791682, 101.6015965 3.1768346, 101.6016575 3.1742968, 101.6016641 3.1735947, 101.6015788 3.1706136, 101.6015053 3.1686811, 101.6014677 3.1655693, 101.6014122 3.1639974, 101.6013423 3.1597208, 101.6013472 3.1548377, 101.6013264 3.1520484, 101.6013101 3.1491284, 101.6013416 3.1459592, 101.6013623 3.1410325, 101.601313 3.1354232, 101.6013001 3.1288591, 101.6019647 3.127184, 101.6019031 3.1241839, 101.601785494732 3.1195286095772867, 101.60155700420941 3.1148055178818104)"
relation/16800772-275,MY54-275,275.0,1843.3350719551768,21189.61,Al/St 240/40 3-bundle 300.0,"LINESTRING (101.57083308923735 3.002872995406613, 101.57202131655252 2.9966621846323633, 101.5719804 2.9955577, 101.5718422 2.9921474, 101.571708 2.9885359, 101.5716522 2.9873558, 101.5714868 2.9839787, 101.571485 2.9820097, 101.5658152 2.9823628, 101.5612709 2.9827216, 101.5583527 2.9827182, 101.5553849 2.9806998, 101.5533434 2.9791932, 101.5507294 2.9777829, 101.5480818 2.9763556, 101.5453879 2.9749256, 101.5457674 2.9727518, 101.5473766 2.9705813, 101.5487111 2.9673613, 101.5499411 2.9644066, 101.5498337 2.9612999, 101.5497554 2.9577641, 101.5496731 2.9552265, 101.549518 2.9520137, 101.5527691 2.9466808, 101.5545382 2.9437544, 101.5563227 2.9408274, 101.5580962 2.9378838, 101.5597812 2.9351002, 101.5614829 2.9323331, 101.56319 2.9295468, 101.5646292 2.9271576, 101.5671706 2.9253755, 101.5701319 2.9233091, 101.5728941 2.9213952, 101.5782051 2.9177069, 101.5804715 2.9161156, 101.5804257 2.913329, 101.5802923 2.9098144, 101.5801723 2.9061596, 101.5800833 2.9024798, 101.5799426 2.898757, 101.5798367 2.8950675, 101.5797346 2.8917413, 101.5796188 2.8882956, 101.5795215 2.8852233, 101.5793914 2.8816009, 101.579302 2.878435, 101.5792167 2.8752631, 101.5791111 2.8720201, 101.5790157 2.8688522, 101.5788918 2.8655991, 101.578782 2.8624254, 101.5787074 2.8591809, 101.5785956 2.8559281, 101.57851849048564 2.853728752508349, 101.57593026145013 2.846656558511256)"
MY46-275,MY45-275,275.0,1843.3350719551768,3151.64,Al/St 240/40 3-bundle 300.0,"LINESTRING (101.45923422600447 3.0677352175300032, 101.45742539304511 3.064182669735109, 101.4571551 3.0637998, 101.4556986 3.0615881, 101.455759 3.0610563, 101.4566299 3.0580791, 101.4583217 3.0533546, 101.4610807 3.0486608, 101.4626878 3.0460819, 101.46377520179571 3.045466385356243, 101.46837169932012 3.0413562205164872)"
