GEM location ID,bus_id
L100000405295,way/554938963-275
L100000405297,MY46-275
L100001025574,way/552681748-275
L100000405298,way/1324718458-275
L100000405299,way/326097227-275
L100000405300,way/562298165-275
L100000405301,way/562298165-275
L100000405302,MY57-275
L100000405303,MY11-275
L100000405304,way/552589219-275
L100000405318,way/552589219-275
L100000405305,way/554295894-275
L100000405306,way/513950834-275
L100000407902,MY40-275
L100000405307,way/554295894-275
L100000405308,MY40-275
L100000405320,MY73-275
L100000405309,MY73-275
L100000405311,way/1285211558-275
L100000405312,MY76-275
L100000405313,way/286559638-275
L100000407900,way/554456729-275
L100000405314,way/1324718458-275
L100000405315,way/1324718458-275
L100000407901,way/552000742-275
L100000405316,MY50-275
L100000405317,way/450080688-275
L100000405319,way/450080688-275
L100000103024,MY40-275
L100000405321,way/691633796-275
L100000405323,way/554456729-275
L100000405324,MY62-275
L100000103019,way/1137665609-275
L100000103015,way/162362039-500
L100000103016,way/162362039-500
L100000103017,way/316035705-500
L100000103021,way/1137665609-275
L100000103023,way/235951698-275
L100000103014,way/235851822-500
L100000808656,way/399307646-275
L100000830710,MY24-275
L100000830711,way/755036990-275
L100000800851,way/556802417-275
L100001020769,MY21-275
L100000800891,way/286559640-275
L100000800896,way/552780098-275
L100000800915,way/552820941-275
L100000808657,way/554938963-275
L100000800964,way/396464338-275
L100000800975,way/313430364-275
L100000800978,MY2-275
L100001020820,MY65-275
L100000801006,MY52-275
L100000801027,way/554938963-275
L100000808658,MY42-275
L100000830717,MY18-275
L100000830718,way/551727678-275
L100000801073,MY48-275
L100000801082,way/556802417-275
L100000801083,way/273399306-275
L100000801087,way/450080688-275
L100000801089,way/556802417-275
L100000808659,MY3-275
L100000830721,MY18-275
L100000801145,way/552780098-275
L100000830722,way/552780098-275
L100000801169,MY55-275
L100001020819,way/553040556-275
L100000801263,way/559750680-275
L100000801264,MY72-500
L100000801265,way/559750680-275
L100000801286,MY13-275
L100000801296,way/551727678-275
L100000830724,way/328415531-275
L100000808660,way/320246940-275
L100000808661,MY11-275
L100000801384,MY2-275
L100000830725,way/460916219-275
L100000801428,way/460916219-275
L100000801429,way/317124038-275
L100000801433,way/556802417-275
L100000830716,way/556802417-275
L100000808662,MY54-275
L100000830728,way/314846699-275
L100000830729,way/892365043-275
L100000830730,way/755700381-275
L100001020821,MY23-275
L100000801514,way/559750680-275
L100000801515,way/397123940-275
L100000801519,way/460916219-275
L100000801084,way/460916219-275
L100000801558,MY65-275
L100001024295,MY12-275
L100000830712,way/286559640-275
L100001024304,way/552780098-275
L100000830713,way/1137308780-500
L100001024281,way/1324718458-275
L100000830714,way/554938963-275
L100001024264,way/313430364-275
L100001024303,way/313430364-275
L100001024279,way/554938963-275
L100001024254,MY76-275
L100001024280,way/235501402-500
L100000830715,way/551727678-275
L100001024266,way/286559640-275
L100001024256,MY2-275
L100001024284,MY2-275
L100001024301,way/326097227-275
L100001024271,way/314846699-275
L100001024308,way/552820941-275
L100001024296,way/562298165-275
L100000830719,way/313430364-275
L100000830720,MY56-275
L100001024274,way/273399306-275
L100001024287,MY27-275
L100001024251,way/1285211558-275
L100001024293,way/1285211558-275
L100001024257,way/328415531-275
L100001024290,way/554456729-275
L100001024278,MY57-275
L100001024299,MY24-275
L100001024294,way/1285211558-275
L100001024302,way/342946809-500
L100001024258,way/396464338-275
L100001024272,MY63-275
L100001024276,way/396464338-275
L100000830723,way/342946809-275
L100001024292,way/561806959-275
L100001024289,MY13-275
L100001024252,way/513270613-275
L100001024253,way/552589219-275
L100001024255,way/316035705-500
L100001024269,way/316035705-500
L100001024286,way/313430364-275
L100001024273,MY20-275
L100001024275,way/316035705-500
L100001024282,way/755036990-275
L100001024283,way/313430364-275
L100001024288,way/551727678-275
L100001024291,way/317124038-275
L100001024305,way/320730394-275
L100001024249,way/286559638-275
L100001024260,way/286559640-275
L100001024263,way/286559640-275
L100001024306,way/286559640-275
L100001024307,way/286559640-275
L100001024277,MY72-500
L100001024268,MY61-275
L100001024265,way/450080688-275
L100001024285,way/328415531-275
L100001024300,MY28-275
L100001024261,MY56-275
L100001024262,way/554497441-275
L100001024267,relation/16800772-275
L100001024250,MY50-275
L100001024270,way/460916219-275
L100000830727,MY60-500
L100001024297,way/328415531-275
L100001024298,way/328415531-275
L100001024259,MY17-275
L100000602433,way/513610290-275
L100000602434,way/513610290-275
L100000602435,way/513610290-275
L100000602436,way/892365043-275
L100000602437,way/320246940-275
L100000602438,way/892365043-275
L100001023119,MY8-275
L100000602439,way/892365043-275
L100000602440,MY15-275
L100000602441,way/892365043-275
L100000602442,way/892365043-275
L100000602443,way/892365043-275
L100000602444,way/892365043-275
L100000602445,MY59-275
L100000602446,way/662315251-275
L100000602447,way/892365043-275
L100000602448,MY4-275
L100000602449,way/755036990-275
L100000602450,way/755036990-275
L100000602451,MY18-275
L100000602452,way/755036990-275
L100000602453,way/892365043-275
L100001023120,way/313430364-275
L100000602454,way/273399306-275
L100000602455,way/320730394-275
L100000602456,MY16-275
L100000602457,way/892365043-275
L100000602458,way/235951698-275
L100000602459,way/662315251-275
L100000602460,way/892365043-275
