bus_id,grid_cell
way/450080688-275,MYS_171
way/160691170-275,MYS_30
way/162362039-500,MYS_29
way/235501402-500,MYS_69
way/235501402-275,MYS_69
way/235851822-500,MYS_68
way/235943019-275,MYS_90
way/235951698-275,MYS_91
way/235966081-275,MYS_101
way/236051516-275,MYS_124
way/273399306-275,MYS_30
way/286559638-275,MYS_3
way/286559640-275,MYS_11
way/313430364-275,MYS_14
way/314846699-275,MYS_46
way/316035698-500,MYS_14
way/316035698-275,MYS_14
way/316035705-500,MYS_6
way/317124038-275,MYS_25
way/317190502-275,MYS_14
way/320246940-275,MYS_99
way/320730394-275,MYS_26
way/325835238-275,MYS_91
way/326097227-275,MYS_10
way/328415531-275,MYS_197
way/342946809-500,MYS_30
way/342946809-275,MYS_30
way/396464338-275,MYS_63
way/397123940-275,MYS_78
way/398265255-275,MYS_21
way/399307646-275,MYS_99
way/399307647-275,MYS_107
way/445431079-275,MYS_49
way/460916219-275,MYS_9
way/492388990-275,MYS_21
way/496114385-275,MYS_78
way/513083092-275,MYS_124
way/513270613-500,MYS_22
way/513270613-275,MYS_22
way/513610290-275,MYS_130
way/513950834-275,MYS_133
way/551727678-275,MYS_7
way/552000742-275,MYS_9
way/552579228-275,MYS_6
way/552589219-275,MYS_6
way/552681748-275,MYS_75
way/552780098-275,MYS_76
way/552820941-275,MYS_47
way/553040556-275,MYS_52
way/553339782-275,MYS_58
way/554295894-275,MYS_38
way/554456729-275,MYS_39
way/554497441-275,MYS_29
way/554640022-275,MYS_29
way/554938963-275,MYS_39
way/556802417-275,MYS_9
way/559750680-275,MYS_63
way/561806959-275,MYS_101
way/691450925-275,MYS_124
way/562298165-275,MYS_165
way/662315251-275,MYS_24
way/691200886-275,MYS_91
way/691239971-275,MYS_94
way/691633793-275,MYS_117
way/691633796-275,MYS_118
way/755036990-275,MYS_24
way/755391602-275,MYS_36
way/755608493-275,MYS_78
way/755668283-500,MYS_59
way/755668283-275,MYS_59
way/755700380-275,MYS_75
way/755700381-275,MYS_75
way/1324718458-275,MYS_8
way/812671277-275,MYS_77
way/885845346-500,MYS_31
way/885845346-275,MYS_31
way/892365043-275,MYS_56
way/934653890-275,MYS_106
way/945342520-275,MYS_69
way/1137308780-500,MYS_50
way/1137308780-275,MYS_50
way/1137665609-275,MYS_111
way/1137665615-275,MYS_130
way/1137665617-275,MYS_124
way/1137665620-500,MYS_132
way/1281913246-275,MYS_6
way/1285211558-275,MYS_163
relation/16800772-275,MYS_21
relation/16871608-275,MYS_21
MY39-275,MYS_30
MY41-275,MYS_30
MY26-275,MYS_31
MY31-275,MYS_31
MY52-275,MYS_30
MY69-275,MYS_69
MY57-275,MYS_30
MY56-275,MYS_30
MY54-275,MYS_21
MY34-275,MYS_30
MY35-275,MYS_30
MY46-275,MYS_21
MY48-275,MYS_21
MY37-275,MYS_21
MY37-500,MYS_21
MY42-275,MYS_21
MY43-275,MYS_21
MY28-275,MYS_22
MY50-275,MYS_30
MY54-500,MYS_21
MY4-275,MYS_36
MY64-275,MYS_69
MY77-275,MYS_68
MY67-275,MYS_69
MY66-275,MYS_78
way/235851822-275,MYS_68
MY21-275,MYS_15
MY51-275,MYS_30
MY61-275,MYS_29
MY62-275,MYS_29
MY3-275,MYS_46
MY17-275,MYS_56
MY1-275,MYS_11
MY13-275,MYS_8
MY10-275,MYS_8
MY11-275,MYS_8
MY5-275,MYS_27
MY24-275,MYS_22
MY40-275,MYS_21
MY32-275,MYS_30
MY9-275,MYS_8
MY2-275,MYS_9
MY20-275,MYS_7
MY71-275,MYS_69
MY33-275,MYS_30
MY38-275,MYS_30
MY53-275,MYS_30
MY74-275,MYS_100
MY59-275,MYS_138
MY19-275,MYS_8
MY14-275,MYS_16
MY63-275,MYS_59
MY15-275,MYS_16
MY8-275,MYS_26
MY7-275,MYS_26
MY28-500,MYS_22
MY76-275,MYS_77
MY70-275,MYS_69
MY23-275,MYS_31
MY60-500,MYS_29
MY25-500,MYS_124
MY68-275,MYS_100
MY72-500,MYS_69
MY65-275,MYS_69
MY78-500,MYS_68
MY47-275,MYS_21
MY22-275,MYS_124
MY12-275,MYS_164
MY44-275,MYS_30
MY29-275,MYS_31
MY45-275,MYS_21
MY49-275,MYS_30
MY27-275,MYS_22
MY58-275,MYS_29
MY73-275,MYS_78
MY18-275,MYS_56
MY6-275,MYS_27
MY36-275,MYS_30
MY55-275,MYS_30
MY79-275,
MY30-500,MYS_31
MY75-275,MYS_68
MY16-275,MYS_164
way/552579228-275,MYS_0
way/1324718458-275,MYS_1
way/286559638-275,MYS_4
way/316035705-500,MYS_5
MY27-275,MYS_12
way/316035705-500,MYS_13
way/556802417-275,MYS_17
MY2-275,MYS_18
way/286559640-275,MYS_19
way/492388990-275,MYS_20
way/755036990-275,MYS_23
MY5-275,MYS_28
way/885845346-275,MYS_32
way/662315251-275,MYS_33
way/662315251-275,MYS_34
MY4-275,MYS_35
way/755391602-275,MYS_37
way/1137308780-275,MYS_40
way/553040556-275,MYS_41
way/553040556-275,MYS_42
way/662315251-275,MYS_43
way/892365043-275,MYS_44
MY17-275,MYS_45
way/553339782-275,MYS_48
way/1137308780-500,MYS_51
way/553040556-275,MYS_53
MY18-275,MYS_54
MY18-275,MYS_55
way/552820941-275,MYS_57
way/755668283-275,MYS_60
way/1137308780-500,MYS_61
way/559750680-275,MYS_62
way/552681748-275,MYS_64
MY18-275,MYS_65
MY18-275,MYS_66
MY18-275,MYS_67
way/235501402-500,MYS_70
MY63-275,MYS_71
way/559750680-275,MYS_72
way/559750680-275,MYS_73
way/396464338-275,MYS_74
way/496114385-275,MYS_79
way/235501402-500,MYS_80
way/559750680-275,MYS_81
MY76-275,MYS_82
MY76-275,MYS_83
way/496114385-275,MYS_84
way/691200886-275,MYS_85
way/691200886-275,MYS_86
way/691200886-275,MYS_87
way/691200886-275,MYS_88
way/691239971-275,MYS_92
way/325835238-275,MYS_93
MY68-275,MYS_95
way/561806959-275,MYS_96
way/561806959-275,MYS_97
way/235966081-275,MYS_98
way/235966081-275,MYS_102
way/235966081-275,MYS_103
way/320246940-275,MYS_104
way/934653890-275,MYS_105
way/1137665609-275,MYS_108
way/934653890-275,MYS_109
way/934653890-275,MYS_110
way/1137665609-275,MYS_112
way/320246940-275,MYS_113
way/934653890-275,MYS_114
way/934653890-275,MYS_115
way/691633793-275,MYS_116
way/934653890-275,MYS_119
way/513610290-275,MYS_120
way/513610290-275,MYS_121
way/513610290-275,MYS_122
way/236051516-275,MYS_123
way/1137665617-275,MYS_125
MY59-275,MYS_126
MY59-275,MYS_127
MY59-275,MYS_128
way/513610290-275,MYS_129
way/1137665620-500,MYS_131
way/513950834-275,MYS_134
MY59-275,MYS_135
MY59-275,MYS_136
MY59-275,MYS_137
MY59-275,MYS_139
way/1137665620-500,MYS_140
way/1137665620-500,MYS_141
way/513950834-275,MYS_142
MY59-275,MYS_143
MY59-275,MYS_144
MY59-275,MYS_145
MY59-275,MYS_146
way/1137665620-500,MYS_147
way/1137665620-500,MYS_148
way/513950834-275,MYS_149
way/1285211558-275,MYS_150
MY59-275,MYS_151
MY59-275,MYS_152
way/1137665620-500,MYS_153
way/1285211558-275,MYS_154
way/1285211558-275,MYS_155
way/1285211558-275,MYS_156
way/1285211558-275,MYS_157
way/562298165-275,MYS_158
MY59-275,MYS_159
way/1285211558-275,MYS_160
way/1285211558-275,MYS_161
way/1285211558-275,MYS_162
way/450080688-275,MYS_166
way/1285211558-275,MYS_167
MY16-275,MYS_168
MY12-275,MYS_169
way/450080688-275,MYS_170
way/450080688-275,MYS_172
MY16-275,MYS_173
MY12-275,MYS_174
way/450080688-275,MYS_175
way/450080688-275,MYS_176
way/450080688-275,MYS_177
way/450080688-275,MYS_178
way/450080688-275,MYS_179
way/328415531-275,MYS_180
way/328415531-275,MYS_181
way/328415531-275,MYS_182
way/328415531-275,MYS_183
way/328415531-275,MYS_184
way/328415531-275,MYS_185
way/328415531-275,MYS_186
way/328415531-275,MYS_187
way/328415531-275,MYS_188
way/328415531-275,MYS_189
way/328415531-275,MYS_190
way/328415531-275,MYS_191
way/328415531-275,MYS_192
way/328415531-275,MYS_193
way/328415531-275,MYS_194
way/328415531-275,MYS_195
way/328415531-275,MYS_196
way/328415531-275,MYS_198
way/328415531-275,MYS_201
way/328415531-275,MYS_202
way/328415531-275,MYS_203
way/328415531-275,MYS_204
way/328415531-275,MYS_205
way/328415531-275,MYS_206
way/328415531-275,MYS_207
way/328415531-275,MYS_208
way/328415531-275,MYS_209
way/552780098-275,wof-MYS_117
way/552820941-275,wof-MYS_118
way/552780098-275,wof-MYS_125
way/552780098-275,wof-MYS_126
way/552780098-275,wof-MYS_127
way/552780098-275,wof-MYS_128
way/552780098-275,wof-MYS_129
way/235966081-275,wof-MYS_135
way/1137665609-275,wof-MYS_136
way/513950834-275,wof-MYS_198
way/513950834-275,wof-MYS_208
way/513950834-275,wof-MYS_220
way/513950834-275,wof-MYS_221
way/513950834-275,wof-MYS_222
way/513950834-275,wof-MYS_230
way/513950834-275,wof-MYS_231
way/562298165-275,wof-MYS_233
way/450080688-275,wof-MYS_234
way/562298165-275,wof-MYS_243
way/450080688-275,wof-MYS_244
way/450080688-275,wof-MYS_245
way/450080688-275,wof-MYS_246
way/450080688-275,wof-MYS_253
way/450080688-275,wof-MYS_254
way/450080688-275,wof-MYS_255
way/450080688-275,wof-MYS_256
way/450080688-275,wof-MYS_262
way/450080688-275,wof-MYS_263
way/450080688-275,wof-MYS_264
way/450080688-275,wof-MYS_265
way/562298165-275,wof-MYS_270
way/450080688-275,wof-MYS_274
way/450080688-275,wof-MYS_279
way/450080688-275,wof-MYS_280
way/450080688-275,wof-MYS_281
way/450080688-275,wof-MYS_282
way/450080688-275,wof-MYS_285
way/450080688-275,wof-MYS_286
way/450080688-275,wof-MYS_287
way/450080688-275,wof-MYS_290
way/450080688-275,wof-MYS_291
way/450080688-275,wof-MYS_292
way/450080688-275,wof-MYS_293
way/450080688-275,wof-MYS_295
way/450080688-275,wof-MYS_296
way/328415531-275,wof-MYS_300
