bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
PL1-400,,400.0,f,Substation,f,PL1,18.08268112404029,54.72228828189159,PL
PL10-400,,400.0,f,Substation,f,PL10,14.522875,53.20822119521329,PL
PL11-220,,220.0,f,Substation,f,PL11,14.45695109198924,53.20299387983926,PL
PL11-400,,400.0,f,Substation,f,PL11,14.457287682332025,53.20317238987104,PL
PL13-220,,220.0,f,Substation,f,PL13,18.120781497941344,53.12548702987653,PL
PL13-400,,400.0,f,Substation,f,PL13,18.12113237252261,53.12565498718226,PL
PL14-220,,220.0,f,Substation,f,PL14,18.12938353728661,53.1094116514118,PL
PL14-400,,400.0,f,Substation,f,PL14,18.12973431041789,53.10957958483765,PL
PL15-400,,400.0,f,Substation,f,PL15,18.13642015149341,53.09476020715347,PL
PL16-400,,400.0,f,Substation,f,PL16,21.640587100000005,53.091674595169565,PL
PL17-400,,400.0,f,Substation,f,PL17,22.9435906,52.93459149510979,PL
PL18-400,,400.0,f,Substation,f,PL18,15.036772099999991,52.76417889504384,PL
PL19-220,,220.0,f,Substation,f,PL19,18.965468100000013,52.72351269502788,PL
PL2-220,,220.0,f,Substation,f,PL2,18.656523600000007,53.96113229548302,PL
PL20-220,,220.0,f,Substation,f,PL20,21.5540491,52.62888699499061,PL
PL21-220,,220.0,f,Substation,f,PL21,19.62617959999999,52.42355029490836,PL
PL22-220,,220.0,f,Substation,f,PL22,18.2943386,52.38335199489208,PL
PL23-400,,400.0,f,Substation,f,PL23,21.770578600000004,52.34021629487445,PL
PL24-220,,220.0,f,Substation,f,PL24,20.991913862470707,52.32348470512485,PL
PL25-220,,220.0,f,Substation,f,PL25,16.925355504055883,52.29737642605557,PL
PL25-400,,400.0,f,Substation,f,PL25,16.92569489661645,52.29754795826545,PL
PL26-400,,400.0,f,Substation,f,PL26,21.786931322317137,52.23130244939394,PL
PL27-400,,400.0,f,Substation,f,PL27,22.35832035040659,52.11788689482026,PL
PL28-400,,400.0,f,Substation,f,PL28,21.328867500000005,51.97157599472111,PL
PL29-400,,400.0,f,Substation,f,PL29,21.92225849999999,51.96732459471923,PL
PL3-220,,220.0,f,Substation,f,PL3,18.673398,53.929437095472096,PL
PL30-220,,220.0,f,Substation,f,PL30,15.489272300000009,51.95126799471247,PL
PL31-400,,400.0,f,Substation,f,PL31,21.330146200000016,51.93093169470389,PL
PL32-220,,220.0,f,Substation,f,PL32,21.16346404885608,51.46543599497441,PL
PL33-220,,220.0,f,Substation,f,PL33,21.04800929999999,51.35830449445308,PL
PL34-400,,400.0,f,Substation,f,PL34,16.425764160923386,51.18776570103628,PL
PL35-220,,220.0,f,Substation,f,PL35,19.444272699999992,51.179630694371895,PL
PL36-400,,400.0,f,Substation,f,PL36,17.694280600000003,51.10849719433917,PL
PL37-220,,220.0,f,Substation,f,PL37,21.0664719,51.02589019430095,PL
PL38-400,,400.0,f,Substation,f,PL38,17.059076600000004,51.00770669429246,PL
PL39-220,,220.0,f,Substation,f,PL39,21.070522343214165,50.98478200827064,PL
PL4-220,,220.0,f,Substation,f,PL4,14.7126611,53.57970669534917,PL
PL40-220,,220.0,f,Substation,f,PL40,14.910159454717688,50.94985641739402,PL
PL40-400,,400.0,f,Substation,f,PL40,14.910480882747931,50.95003381720133,PL
PL41-400,,400.0,f,Substation,f,PL41,18.98947289999998,50.94909189426496,PL
PL42-220,,220.0,f,Substation,f,PL42,19.25542959999999,50.79301729419134,PL
PL43-220,,220.0,f,Substation,f,PL43,19.2515289,50.76065989417594,PL
PL44-220,,220.0,f,Substation,f,PL44,19.191877,50.75966699417549,PL
PL45-220,,220.0,f,Substation,f,PL45,19.2454737,50.74400099416799,PL
PL46-220,,220.0,f,Substation,f,PL46,16.803664099999992,50.60568499410147,PL
PL47-220,,220.0,f,Substation,f,PL47,19.4757556,50.50648329405317,PL
PL48-220,,220.0,f,Substation,f,PL48,21.2178506,50.5021563940511,PL
PL49-220,,220.0,f,Substation,f,PL49,21.05728049888053,50.50127049415424,PL
PL5-220,,220.0,f,Substation,f,PL5,14.574375880940538,53.51629259867866,PL
PL50-220,,220.0,f,Substation,f,PL50,19.470848700000005,50.483751794042064,PL
PL51-400,,400.0,f,Substation,f,PL51,19.23559086146937,50.43749111823305,PL
PL52-400,,400.0,f,Substation,f,PL52,19.16272955303813,50.40805705183556,PL
PL53-220,,220.0,f,Substation,f,PL53,19.246530700000005,50.25341169392807,PL
PL54-220,,220.0,f,Substation,f,PL54,19.224009622089348,50.21166258653213,PL
PL54-400,,400.0,f,Substation,f,PL54,19.22434174300648,50.21182762942035,PL
PL55-220,,220.0,f,Substation,f,PL55,19.084312799999992,50.2039135939032,PL
PL56-220,,220.0,f,Substation,f,PL56,19.181115000000013,50.19977019390112,PL
PL57-220,,220.0,f,Substation,f,PL57,19.1967003635043,50.19938373086264,PL
PL58-220,,220.0,f,Substation,f,PL58,18.875818741056467,50.1920755158316,PL
PL59-220,,220.0,f,Substation,f,PL59,18.524165245275302,50.13300235381351,PL
PL59-400,,400.0,f,Substation,f,PL59,18.52449428961516,50.13316947212409,PL
PL6-220,,220.0,f,Substation,f,PL6,18.822701500000008,53.42285509529242,PL
PL60-220,,220.0,f,Substation,f,PL60,21.1464442,50.105560593853546,PL
PL61-220,,220.0,f,Substation,f,PL61,20.9337045,50.10525269385342,PL
PL62-400,,400.0,f,Substation,f,PL62,21.91727784438144,49.75167020856227,PL
PL7-400,,400.0,f,Substation,f,PL7,18.8072593,53.42029859529148,PL
PL8-220,,220.0,f,Substation,f,PL8,14.986261199999998,53.38612679527908,PL
relation/18085709-400,,400.0,f,Substation,f,relation/18085709,16.8912093855503,54.50138089253254,PL
relation/9399771-220,,220.0,f,Substation,f,relation/9399771,19.464900445600605,50.20879456605939,PL
way/101914781-220,,220.0,f,Substation,f,way/101914781,20.347703037858253,53.82709479614677,PL
way/101914781-400,,400.0,f,Substation,f,way/101914781,20.34806883541012,53.82725599799715,PL
way/101915790-220,,220.0,f,Substation,f,way/101915790,20.52914097006328,53.802992196846674,PL
way/101982559-220,,220.0,f,Substation,f,way/101982559,19.38303075663365,51.83084324670421,PL
way/102165724-220,,220.0,f,Substation,f,way/102165724,19.367827010564664,51.67760334192122,PL
way/1022342082-220,,220.0,f,Substation,f,way/1022342082,21.49334119502237,52.618717269148455,PL
way/1022342082-400,,400.0,f,Substation,f,way/1022342082,21.493700693406364,52.61887511548088,PL
way/111615226-220,,220.0,f,Substation,f,way/111615226,15.114048637999945,51.092587962369954,PL
way/111615226-380,,380.0,f,Substation,f,way/111615226,15.1142920700991,51.09241175527245,PL
way/111615226-400,,400.0,f,Substation,f,way/111615226,15.114412782357082,51.092632469425226,PL
way/112614319-400,,400.0,f,Substation,f,way/112614319,18.709473829191406,54.33865018517349,PL
way/115801644-220,,220.0,f,Substation,f,way/115801644,20.078902138392355,50.06150216942482,PL
way/121656686-220,,220.0,f,Substation,f,way/121656686,21.622064197413163,53.10698577888713,PL
way/121656686-400,,400.0,f,Substation,f,way/121656686,21.622428438855724,53.107143160624126,PL
way/130644710-220,,220.0,f,Substation,f,way/130644710,18.44105385522773,54.33748317476649,PL
way/130644710-400,,400.0,f,Substation,f,way/130644710,18.44141662999874,54.33765007410732,PL
way/131120723-220,,220.0,f,Substation,f,way/131120723,16.913981899859884,52.33150361987048,PL
way/133537926-220,,220.0,f,Substation,f,way/133537926,19.2919537829105,50.16369508994721,PL
way/133537926-400,,400.0,f,Substation,f,way/133537926,19.29228579473545,50.16385993840058,PL
way/135598292-220,,220.0,f,Substation,f,way/135598292,19.27329795249791,50.000711983051765,PL
way/139452056-220,,220.0,f,Substation,f,way/139452056,18.54087391976858,50.12292918080141,PL
way/139452056-400,,400.0,f,Substation,f,way/139452056,18.54120295140496,50.12309625144536,PL
way/143484238-220,,220.0,f,Substation,f,way/143484238,18.670385303766537,53.0444625437453,PL
way/144646702-400,,400.0,f,Substation,f,way/144646702,19.71809527461298,52.63584813930103,PL
way/145037309-220,,220.0,f,Substation,f,way/145037309,20.258486720863527,52.23265903803437,PL
way/148060965-400,,400.0,f,Substation,f,way/148060965,22.615563861037216,51.29810935919406,PL
way/148197330-220,,220.0,f,Substation,f,way/148197330,16.59011243377763,51.876261929891605,PL
way/153838553-220,,220.0,f,Substation,f,way/153838553,19.461943417608,50.49680072798847,PL
way/154510504-400,,400.0,f,Substation,f,way/154510504,16.880479781718687,51.0032522754218,PL
way/154894455-400,,400.0,f,Substation,f,way/154894455,16.28963851841868,51.39203637090544,PL
way/155971668-220,,220.0,f,Substation,f,way/155971668,19.38472577223765,51.24187663156869,PL
way/158232924-220,,220.0,f,Substation,f,way/158232924,15.292621647189277,51.98838227398461,PL
way/165763717-220,,220.0,f,Substation,f,way/165763717,14.521960541156195,53.56435114913526,PL
way/166710856-400,,400.0,f,Substation,f,way/166710856,20.96504503028881,49.96941202282155,PL
way/166838338-400,,400.0,f,Substation,f,way/166838338,21.852623292646182,49.68822606461448,PL
way/170249563-220,,220.0,f,Substation,f,way/170249563,22.58402194979284,51.19630497624815,PL
way/170259740-220,,220.0,f,Substation,f,way/170259740,22.32320624934065,53.77383331529912,PL
way/170316833-220,,220.0,f,Substation,f,way/170316833,19.6833442414216,51.42822569434406,PL
way/170368942-220,,220.0,f,Substation,f,way/170368942,23.147699837331945,50.69798566158492,PL
way/171383831-220,,220.0,f,Substation,f,way/171383831,18.541784798846724,52.01173129070427,PL
way/171917072-400,,400.0,f,Substation,f,way/171917072,18.907832339956155,51.14274257049226,PL
way/171992870-220,,220.0,f,Substation,f,way/171992870,19.73578228842144,52.5366993427332,PL
way/173582810-220,,220.0,f,Substation,f,way/173582810,21.45561105366285,51.66232708480288,PL
way/173582810-400,,400.0,f,Substation,f,way/173582810,21.45596239906139,51.66248518725997,PL
way/173613665-220,,220.0,f,Substation,f,way/173613665,23.292570654205857,50.71673595921313,PL
way/175406958-220,,220.0,f,Substation,f,way/175406958,16.09560510987611,54.12656592444435,PL
way/175406958-400,,400.0,f,Substation,f,way/175406958,16.09595625676018,54.1267397172645,PL
way/177749653-220,,220.0,f,Substation,f,way/177749653,16.19083623924143,50.75265211096005,PL
way/178756295-220,,220.0,f,Substation,f,way/178756295,15.684897002778072,50.88736124648662,PL
way/178838661-220,,220.0,f,Substation,f,way/178838661,16.7100760177372,54.024054311061576,PL
way/178838661-400,,400.0,f,Substation,f,way/178838661,16.710428850415994,54.0242263304575,PL
way/179279860-220,,220.0,f,Substation,f,way/179279860,16.789933127960346,50.594057483562594,PL
way/180535363-220,,220.0,f,Substation,f,way/180535363,16.00596504971153,51.66213778434632,PL
way/180542657-220,,220.0,f,Substation,f,way/180542657,16.075384778125137,51.496296546358096,PL
way/180542657-400,,400.0,f,Substation,f,way/180542657,16.075714698472346,51.49647059835987,PL
way/183259405-220,,220.0,f,Substation,f,way/183259405,18.85220713917978,50.23098537645122,PL
way/183945016-220,,220.0,f,Substation,f,way/183945016,18.849567300984408,50.13060144215547,PL
way/184899160-220,,220.0,f,Substation,f,way/184899160,18.5633525751846,49.94124088250782,PL
way/185454704-220,,220.0,f,Substation,f,way/185454704,18.29365492223777,50.35914517996387,PL
way/185459155-220,,220.0,f,Substation,f,way/185459155,18.254091316484864,50.31681708005669,PL
way/189501431-220,,220.0,f,Substation,f,way/189501431,19.805711277370108,49.9747854205396,PL
way/189501431-400,,400.0,f,Substation,f,way/189501431,19.806043724930174,49.97494876941905,PL
way/189851841-220,,220.0,f,Substation,f,way/189851841,21.04599803433397,51.33808552095458,PL
way/191035265-220,,220.0,f,Substation,f,way/191035265,20.94477068176789,50.06382099273164,PL
way/191038569-220,,220.0,f,Substation,f,way/191038569,20.926415095548208,50.02259044895192,PL
way/191352746-220,,220.0,f,Substation,f,way/191352746,21.67155178624832,50.504154027989344,PL
way/194903381-220,,220.0,f,Substation,f,way/194903381,23.43917594311694,51.15824868911751,PL
way/194903381-400,,400.0,f,Substation,f,way/194903381,23.43953016576137,51.15840073090456,PL
way/198635989-220,,220.0,f,Substation,f,way/198635989,21.932877434209747,49.994080927127975,PL
way/199098050-220,,220.0,f,Substation,f,way/199098050,20.414702726123267,50.89970891903441,PL
way/199098050-400,,400.0,f,Substation,f,way/199098050,20.41504427628409,50.89987030091632,PL
way/199098053-220,,220.0,f,Substation,f,way/199098053,21.329216800872093,50.4413847402263,PL
way/199098053-400,,400.0,f,Substation,f,way/199098053,21.329558058968725,50.44154342284308,PL
way/199098055-220,,220.0,f,Substation,f,way/199098055,20.52211346317449,50.78777086622544,PL
way/215282393-400,,400.0,f,Substation,f,way/215282393,21.87079962455832,50.19092652750792,PL
way/216060722-220,,220.0,f,Substation,f,way/216060722,19.14231579101503,50.83205296039552,PL
way/216975352-220,,220.0,f,Substation,f,way/216975352,18.26883021714901,52.28682126071594,PL
way/217899005-220,,220.0,f,Substation,f,way/217899005,19.166540638513307,50.75395536989711,PL
way/224727316-220,,220.0,f,Substation,f,way/224727316,19.168297601908435,50.776014758746975,PL
way/228154083-220,,220.0,f,Substation,f,way/228154083,20.63826777507597,50.90471831924626,PL
way/238640596-220,,220.0,f,Substation,f,way/238640596,16.871240494031564,53.07929279647416,PL
way/238640596-400,,400.0,f,Substation,f,way/238640596,16.871585988512866,53.07946441766993,PL
way/241842600-220,,220.0,f,Substation,f,way/241842600,19.316476370513804,50.75995074706095,PL
way/241842600-400,,400.0,f,Substation,f,way/241842600,19.31681290044392,50.76011543774873,PL
way/245964556-220,,220.0,f,Substation,f,way/245964556,18.95606453809692,52.714665383017554,PL
way/251239544-220,,220.0,f,Substation,f,way/251239544,20.741760231046623,52.22695706084463,PL
way/251239544-400,,400.0,f,Substation,f,way/251239544,20.742113623332777,52.22711726177133,PL
way/254235846-220,,220.0,f,Substation,f,way/254235846,21.451522058613605,50.93877593819144,PL
way/254235846-400,,400.0,f,Substation,f,way/254235846,21.45186759684833,50.93893416650288,PL
way/254938713-220,,220.0,f,Substation,f,way/254938713,17.1687594727716,52.281048847504685,PL
way/254938713-400,,400.0,f,Substation,f,way/254938713,17.16909968992713,52.281219674805655,PL
way/255232597-220,,220.0,f,Substation,f,way/255232597,19.16942841921064,50.08606988733177,PL
