GEM location ID,bus_id
L100001007717,way/40946784-400
L100000500433,way/29139402-220
L100001007716,way/254938713-400
L100000500323,PL1-400
L100001007718,way/115801644-220
L100001007721,PL16-400
L100000500434,way/171917072-400
L100001007720,way/135598292-220
L100001007719,way/191352746-220
L100001007722,way/72879943-220
L100000103244,way/293489663-400
L100000103261,PL54-400
L100000103276,way/216975352-220
L100000103219,way/35366436-220
L100000201195,way/121656686-220
L100000103272,way/199098053-400
L100000103213,PL7-400
L100000103274,way/40062974-220
L100000103253,way/255232597-220
L100000103275,way/171383831-220
L100001000014,way/185454704-220
L100000103212,PL14-220
L100001000012,way/40946790-220
L100000103278,PL11-400
L100000406375,way/112614319-400
L100001025878,way/112614319-400
L100000103246,way/130644710-400
L100000103226,way/385539724-220
L100000401438,way/46092396-220
L100000400575,way/180535363-220
L100000407812,PL18-400
L100000103233,way/173582810-220
L100000400810,way/726776987-220
L100000103234,way/121656686-220
L100000406377,way/658600169-400
L100000103277,way/293484894-220
L100000103268,PL59-220
L100000400576,way/198635989-220
L100000103208,PL38-400
L100000400578,way/255972397-400
L100000103235,way/89434732-220
L100000103243,way/726776987-220
L100000406378,way/135598292-220
L100000400579,way/143484238-220
L100000400580,way/79033485-400
L100000400812,way/72879943-220
L100000400813,way/170249563-220
L100000103236,way/25898810-220
L100000400582,PL30-220
L100000103250,way/66161634-220
L100000103216,way/681264796-400
L100000103255,way/98634956-220
L100000103257,way/29139402-220
L100000103251,way/216060722-220
L100000103245,way/112614319-400
L100000103252,way/293489607-400
L100000103263,way/29139402-220
L100000103229,way/115801644-220
L100000103264,way/66161634-400
L100000103265,way/183945016-220
L100000103218,way/101982559-220
L100000103242,way/255277953-400
L100000103220,way/255284259-220
L100000103279,way/40062974-220
L100000103224,way/88544449-220
L100000103228,way/88544449-220
L100000103230,relation/9399771-220
L100000103231,way/189501431-400
L100000103210,PL40-220
L100000103211,way/79033485-400
L100000103270,way/293489607-400
L100000103273,way/184899160-220
L100000103271,way/40946790-220
L100000907816,PL8-220
L100000907873,way/175406958-400
L100000907947,way/255293403-400
L100000907978,way/86494356-400
L100000907981,way/166838338-400
L100000908028,PL21-220
L100000908050,PL36-400
L100000908051,way/91384044-400
L100000908172,way/171917072-400
L100000908197,PL39-220
L100000908237,PL1-400
L100000908468,PL1-400
L100000908817,way/1022342082-220
L100000908818,PL1-400
L100000908839,relation/18085709-400
L100000908896,way/198635989-220
L100000908915,PL35-220
L100000908995,way/46092396-400
L100000909071,way/1022342082-220
L100000909263,relation/18085709-400
L100000909368,way/238640596-400
L100000909560,PL6-220
L100000909601,way/32036484-220
L100000909603,way/175406958-220
L100000909697,way/175406958-220
L100000909799,PL18-400
L100000909877,way/385539724-220
L100000909912,way/145037309-220
L100000909917,way/385539724-220
L100000909976,way/534238983-400
L100000909990,PL8-220
L100000909999,way/171917072-400
L100000910033,PL3-220
L100000910034,way/144646702-400
L100000910204,way/178838661-220
L100000910298,way/1022342082-220
L100000910334,PL17-400
L100000910337,way/175406958-220
L100000910429,way/254938713-400
