bus_id,grid_cell
PL1-400,
PL10-400,POL_5
PL11-220,POL_5
PL11-400,POL_5
PL13-220,POL_56
PL13-400,POL_56
PL14-220,POL_56
PL14-400,POL_56
PL15-400,POL_56
PL16-400,POL_116
PL17-400,POL_140
PL18-400,POL_12
PL19-220,POL_67
PL2-220,POL_70
PL20-220,POL_115
PL21-220,POL_79
PL22-220,POL_55
PL23-400,POL_114
PL24-220,POL_102
PL25-220,POL_32
PL25-400,POL_32
PL26-400,POL_114
PL27-400,POL_126
PL28-400,POL_114
PL29-400,POL_126
PL3-220,POL_70
PL30-220,POL_11
PL31-400,POL_114
PL32-220,POL_100
PL33-220,POL_100
PL34-400,POL_30
PL35-220,POL_76
PL36-400,POL_41
PL37-220,POL_100
PL38-400,POL_29
PL39-220,POL_99
PL4-220,POL_6
PL40-220,POL_0
PL40-400,POL_0
PL41-400,POL_63
PL42-220,POL_75
PL43-220,POL_75
PL44-220,POL_75
PL45-220,POL_75
PL46-220,POL_29
PL47-220,POL_74
PL48-220,POL_110
PL49-220,POL_98
PL5-220,POL_6
PL50-220,POL_74
PL51-400,POL_74
PL52-400,POL_74
PL53-220,POL_74
PL54-220,POL_74
PL54-400,POL_74
PL55-220,POL_62
PL56-220,POL_74
PL57-220,POL_74
PL58-220,POL_62
PL59-220,POL_62
PL59-400,POL_62
PL6-220,POL_69
PL60-220,POL_97
PL61-220,POL_97
PL62-400,POL_121
PL7-400,POL_69
PL8-220,POL_6
relation/18085709-400,POL_37
relation/9399771-220,POL_74
way/101914781-220,POL_94
way/101914781-400,POL_94
way/101915790-220,POL_106
way/101982559-220,POL_77
way/102165724-220,POL_77
way/1022342082-220,POL_115
way/1022342082-400,POL_115
way/111615226-220,POL_9
way/111615226-380,POL_9
way/111615226-400,POL_9
way/112614319-400,POL_71
way/112614319-400,wof-POL_25
way/115801644-220,POL_85
way/121656686-220,POL_116
way/121656686-400,POL_116
way/130644710-220,POL_59
way/130644710-400,POL_59
way/131120723-220,POL_32
way/133537926-220,POL_74
way/133537926-400,POL_74
way/135598292-220,POL_73
way/139452056-220,POL_62
way/139452056-400,POL_62
way/143484238-220,POL_68
way/144646702-400,POL_79
way/145037309-220,POL_90
way/148060965-400,POL_136
way/148197330-220,POL_31
way/153838553-220,POL_74
way/154510504-400,POL_29
way/154894455-400,POL_19
way/155971668-220,POL_76
way/158232924-220,POL_11
way/165763717-220,POL_6
way/166710856-400,POL_97
way/166838338-400,POL_109
way/170249563-220,POL_136
way/170259740-220,POL_130
way/170316833-220,POL_76
way/170368942-220,POL_135
way/171383831-220,POL_66
way/171917072-400,POL_64
way/171992870-220,POL_79
way/173582810-220,POL_113
way/173582810-400,POL_113
way/173613665-220,POL_146
way/175406958-220,POL_25
way/175406958-220,wof-POL_6
way/175406958-400,POL_25
way/175406958-400,wof-POL_6
way/177749653-220,POL_18
way/178756295-220,POL_8
way/178838661-220,POL_36
way/178838661-400,POL_36
way/179279860-220,POL_29
way/180535363-220,POL_20
way/180542657-220,POL_20
way/180542657-400,POL_20
way/183259405-220,POL_62
way/183945016-220,POL_62
way/184899160-220,POL_61
way/185454704-220,POL_50
way/185459155-220,POL_50
way/189501431-220,POL_73
way/189501431-400,POL_73
way/189851841-220,POL_100
way/191035265-220,POL_97
way/191038569-220,POL_97
way/191352746-220,POL_110
way/194903381-220,POL_147
way/194903381-400,POL_147
way/198635989-220,POL_121
way/199098050-220,POL_87
way/199098050-400,POL_87
way/199098053-220,POL_110
way/199098053-400,POL_110
way/199098055-220,POL_99
way/215282393-400,POL_110
way/216060722-220,POL_75
way/216975352-220,POL_54
way/217899005-220,POL_75
way/224727316-220,POL_75
way/228154083-220,POL_99
way/238640596-220,POL_34
way/238640596-400,POL_34
way/241842600-220,POL_75
way/241842600-400,POL_75
way/245964556-220,POL_67
way/251239544-220,POL_102
way/251239544-400,POL_102
way/254235846-220,POL_111
way/254235846-400,POL_111
way/254938713-220,POL_43
way/254938713-400,POL_43
way/255232597-220,POL_73
way/255277953-400,POL_51
way/255284259-220,POL_54
way/255284259-400,POL_54
way/255293400-220,POL_56
way/255293400-400,POL_56
way/255293403-400,POL_53
way/255314292,POL_37
way/255972326-400,POL_128
way/255972397-400,POL_126
way/255973806-220,POL_114
way/255973806-400,POL_114
way/25898810-220,POL_102
way/276291999-220,POL_18
way/276291999-400,POL_18
way/29098336-220,POL_102
way/29115701-220,POL_102
way/291375946-220,POL_61
way/29139402-220,POL_62
way/293484891-220,POL_76
way/293484891-400,POL_76
way/293484894-220,POL_33
way/293489607-400,POL_62
way/293489663-400,POL_140
way/303870256-400,POL_130
way/32036484-220,POL_32
way/32036484-400,POL_32
way/32943179-220,POL_6
way/32943179-400,POL_6
way/336990960-220,POL_51
way/35366436-220,POL_77
way/385098015-400,POL_70
way/385118244-400,POL_59
way/385539724-220,POL_12
way/39428977-220,POL_5
way/39428977-400,POL_5
way/40062974-220,POL_6
way/40946784-400,POL_74
way/40946790-220,POL_74
way/44389929-220,POL_73
way/46092396-220,POL_69
way/46092396-400,POL_69
way/46235456-220,POL_56
way/46235456-400,POL_56
way/534238983-220,POL_36
way/534238983-400,POL_36
way/658600169-400,POL_79
way/66051759-220,POL_74
way/66161634-220,POL_74
way/66161634-400,POL_74
way/668348943-220,POL_7
way/681264796-220,POL_76
way/681264796-400,POL_76
way/726776987-220,POL_122
way/72879943-220,POL_67
way/79033485-400,POL_41
way/86494356-400,
way/87667718-220,POL_85
way/88544449-220,POL_124
way/89434732-220,POL_102
way/91384044-400,POL_102
way/98611253-220,POL_73
way/98634956-220,POL_61
way/99593626-220,POL_114
way/99593626-400,POL_114
PL40-220,POL_1
way/158232924-220,POL_2
way/158232924-220,POL_3
PL18-400,POL_4
PL30-220,POL_10
way/385539724-220,POL_13
PL8-220,POL_14
PL8-220,POL_15
way/177749653-220,POL_17
way/180535363-220,POL_21
way/32036484-220,POL_22
way/238640596-220,POL_23
way/175406958-220,POL_24
way/175406958-400,POL_26
way/179279860-220,POL_27
way/179279860-220,POL_28
way/238640596-400,POL_35
way/336990960-220,POL_38
way/255277953-400,POL_39
PL36-400,POL_40
way/255293403-400,POL_42
way/254938713-400,POL_44
way/255293400-220,POL_45
way/255293400-220,POL_46
way/534238983-400,POL_47
relation/18085709-400,POL_48
way/185459155-220,POL_49
PL36-400,POL_52
way/46235456-400,POL_57
way/385118244-400,POL_58
way/98634956-220,POL_60
way/171383831-220,POL_65
way/98611253-220,POL_72
PL21-220,POL_78
way/144646702-400,POL_80
PL6-220,POL_81
PL3-220,POL_82
way/112614319-400,POL_83
way/115801644-220,POL_84
way/87667718-220,POL_86
way/199098050-220,POL_88
way/145037309-220,POL_89
way/145037309-220,POL_91
way/144646702-400,POL_92
way/101914781-220,POL_93
way/101914781-400,POL_95
way/166710856-400,POL_96
PL32-220,POL_101
way/91384044-400,POL_103
PL24-220,POL_104
way/101915790-220,POL_105
way/101915790-220,POL_107
way/166838338-400,POL_108
way/254235846-400,POL_112
way/121656686-400,POL_117
way/303870256-400,POL_118
way/303870256-400,POL_119
PL62-400,POL_120
way/726776987-220,POL_123
way/88544449-220,POL_125
way/255972397-400,POL_127
way/303870256-400,POL_129
way/170259740-220,POL_131
PL62-400,POL_132
way/170368942-220,POL_133
way/170368942-220,POL_134
way/148060965-400,POL_137
PL27-400,POL_138
PL17-400,POL_139
way/293489663-400,POL_141
way/170259740-220,POL_142
way/170259740-220,POL_143
way/173613665-220,POL_144
way/173613665-220,POL_145
way/194903381-400,POL_148
way/194903381-400,POL_149
way/293489663-400,POL_150
way/293489663-400,POL_151
way/293489663-400,POL_152
way/293489663-400,POL_153
way/170259740-220,POL_154
way/668348943-220,wof-POL_3
way/175406958-220,wof-POL_4
way/175406958-220,wof-POL_5
way/175406958-400,wof-POL_7
way/175406958-400,wof-POL_8
way/255314292,wof-POL_11
way/255314292,wof-POL_12
PL1-400,wof-POL_14
PL1-400,wof-POL_15
PL1-400,wof-POL_19
PL1-400,wof-POL_20
way/112614319-400,wof-POL_26
way/86494356-400,wof-POL_27
way/86494356-400,wof-POL_28
way/112614319-400,wof-POL_29
way/112614319-400,wof-POL_30
way/112614319-400,wof-POL_31
