bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,station_id
way/29115701-220,220.0,f,Substation,f,way/29115701,20.877296701170323,52.21443954096648,PL,220.0,PL,way/29115701
way/39428977-400,400.0,f,Substation,f,way/39428977,14.476073038134793,53.19612477284645,PL,400.0,PL,way/39428977
way/86494356-400,400.0,f,Substation,f,way/86494356,18.10933402629953,54.71883295632564,PL,400.0,PL,way/86494356
way/111615226-220,220.0,f,Substation,f,way/111615226,15.114048637999918,51.092587962369954,PL,220.0,PL,way/111615226
way/133537926-220,220.0,f,Substation,f,way/133537926,19.29195378291049,50.16369508994721,PL,220.0,PL,way/133537926
way/191035265-220,220.0,f,Substation,f,way/191035265,20.94477068176789,50.06382099273164,PL,220.0,PL,way/191035265
way/293484891-220,220.0,f,Substation,f,way/293484891,19.328367738135,51.3160356439981,PL,220.0,PL,way/293484891
PL75-220,220.0,f,Substation,f,PL75,18.690068508639264,49.888401941940245,PL,220.0,PL,PL75
PL17-400,400.0,f,Substation,f,PL17,22.9435906,52.9345914951098,PL,400.0,PL,PL17
way/303870256-400,400.0,f,Substation,f,way/303870256,22.30185788377095,53.75758694629275,PL,400.0,PL,way/303870256
way/255314292,450.0,t,Substation,f,way/255314292,16.89038355962467,54.50215260847131,PL,450.0,PL,way/255314292
