line_id,bus0,bus1,type,voltage,s_nom,length,network_country,r,x,b
PL_line_1,way/39428977-400,way/111615226-380,way/111615226-380;way/39428977-400,220,491.556,91078.36,PL,,,
PL_line_2,way/111615226-380,way/255277953-400,way/111615226-380;way/255277953-400,400,5853.985000000001,48186.31192994003,PL,,,
PL_line_3,way/111615226-380,way/255284259-220,way/111615226-380;way/255284259-220,220,983.112,90142.83,PL,,,
PL_line_4,way/133537926-220,way/215282393-400,way/133537926-220;way/215282393-400,400,3753.7,89387.2450364387,PL,,,
PL_line_5,way/133537926-220,way/215282393-400,way/133537926-220;way/215282393-400,400,1787.476,187932.58,PL,,,
PL_line_6,way/133537926-220,way/293484891-220,way/133537926-220;way/293484891-220,400,4558.065,43426.35546470706,PL,,,
PL_line_7,way/255277953-400,way/133537926-220,way/133537926-220;way/255277953-400,220,491.556,49187.13,PL,,,
PL_line_8,way/255277953-400,way/133537926-220,way/133537926-220;way/255277953-400,400,1787.476,120852.45,PL,,,
PL_line_9,way/215282393-400,way/173613665-220,way/173613665-220;way/215282393-400,220,983.112,70198.15999999999,PL,,,
PL_line_10,way/29115701-220,way/173613665-220,way/173613665-220;way/29115701-220,400,1787.476,96354.9,PL,,,
PL_line_11,way/215282393-400,way/29115701-220,way/215282393-400;way/29115701-220,220,491.556,72450.29,PL,,,
PL_line_12,way/293484891-220,way/215282393-400,way/215282393-400;way/293484891-220,220,491.556,82133.25,PL,,,
PL_line_13,way/215282393-400,way/29115701-220,way/215282393-400;way/29115701-220,400,3262.144,81576.0534051593,PL,,,
PL_line_14,way/255277953-400,way/255284259-220,way/255277953-400;way/255284259-220,400,1787.476,77166.19,PL,,,
PL_line_15,way/255277953-400,way/133537926-220,way/133537926-220;way/255277953-400,400,1787.476,157309.38,PL,,,
PL_line_16,way/255277953-400,way/293484891-220,way/255277953-400;way/293484891-220,400,1787.476,94420.05,PL,,,
PL_line_17,way/255284259-220,way/255314292,way/255284259-220;way/255314292,400,4558.064,87711.28137238091,PL,,,
PL_line_18,way/255284259-220,way/29115701-220,way/255284259-220;way/29115701-220,400,2770.588,135880.41477121823,PL,,,
PL_line_19,way/255284259-220,way/293484891-220,way/255284259-220;way/293484891-220,400,1787.476,130396.67,PL,,,
PL_line_20,way/255284259-220,way/293484891-220,way/255284259-220;way/293484891-220,400,3262.144,107477.29595819188,PL,,,
PL_line_21,way/255284259-220,way/39428977-400,way/255284259-220;way/39428977-400,400,5362.429,163033.0957941858,PL,,,
PL_line_22,way/86494356-400,way/255284259-220,way/255284259-220;way/86494356-400,400,5853.985000000001,91141.05269513332,PL,,,
PL_line_23,way/39428977-400,way/255314292,way/255314292;way/39428977-400,400,1787.476,128495.42,PL,,,
PL_line_24,way/255314292,way/86494356-400,way/255314292;way/86494356-400,400,4066.508,107052.1012905028,PL,,,
PL_line_25,way/293484891-220,way/29115701-220,way/29115701-220;way/293484891-220,400,5049.62,156217.05263649143,PL,,,
PL_line_26,way/303870256-400,way/29115701-220,way/29115701-220;way/303870256-400,400,8133.017,93147.878636522,PL,,,
PL_line_27,way/86494356-400,way/29115701-220,way/29115701-220;way/86494356-400,400,1787.476,136662.77,PL,,,
