GEM location ID,bus_id,bus_name
L100000200317,way/239998425-400,Pancevo
L100001046287,way/238249884-400,Zajecar
L100001046288,way/411530745-220,Krusevac
L100001025765,way/152481174-220,Aleksinac
L100001025790,way/144936638-220,Petrovaradin
L100000406721,way/144936638-220,Petrovaradin
L100000406720,way/254397982-220,Ugrinovci
L100000406724,way/273601208-220,Zrenjanin
L100001073921,way/273601210-400,Kula
L100001044865,way/273601210-400,Kula
L100001073900,way/152481174-220,Aleksinac
L100001073905,way/330729178-220,NovaPazova
L100001073916,way/236110936-220,Sid
L100001073898,way/330729178-220,NovaPazova
L100001044859,way/238954545-400,Sombor
L100001005451,way/144936638-220,Petrovaradin
L100001073904,way/237532249-220,Vladimirci
L100001073914,way/238249884-400,Zajecar
L100001003747,way/238249884-400,Zajecar
L100001073917,way/273601208-220,Zrenjanin
L100001073918,way/411530745-220,Krusevac
L100001005448,way/273601208-220,Zrenjanin
L100001073912,way/89109496-400,Subotica
L100001073908,way/152481174-220,Aleksinac
L100000824278,way/273601210-220,Becej
L100001049944,way/236110936-220,Sid
L100001005453,way/144936638-220,Petrovaradin
L100001073925,way/144936638-220,Petrovaradin
L100001073910,way/152481174-220,Aleksinac
L100001044863,way/232243950-400,Vlasotince
L100001044860,way/152481174-220,Aleksinac
L100001073901,way/273601208-220,Zrenjanin
L100001073920,way/273601208-220,Zrenjanin
L100000824279,way/89109496-400,Subotica
L100000806183,RS14-220,GornjiMilanovac
L100001005449,way/238952272-400,Kladovo
L100001003743,RS11-400,Negotin
L100000806342,way/273601210-220,Becej
L100001005450,RS22-220,Blace
L100001073906,way/498961839-400,Kragujevac
L100001005447,way/498961839-400,Kragujevac
L100001005452,way/232243950-400,Vlasotince
L100001073902,way/237532249-220,Vladimirci
L100001073919,way/237532249-220,Vladimirci
L100000824282,way/498961839-400,Kragujevac
L100000824283,way/236110936-220,Sid
L100001073911,way/273601208-220,Zrenjanin
L100001073899,way/144936638-220,Petrovaradin
L100001003744,RS19-400,Pirot
L100001073915,way/239947121-220,SmederevskaPalanka
L100001003746,way/236134509-220,Sremcica
L100001003745,way/152481174-220,Aleksinac
L100001003748,way/236110936-220,Sid
L100001073923,way/411530745-220,Krusevac
L100001073903,RS24-220,Brus
L100001073907,way/267325562-400,Vranje
L100001073909,RS24-220,Brus
L100001073924,way/235291237-220,Bujanovac
L100001044864,way/238249884-400,Zajecar
L100000806184,way/152481174-400,Nis
L100000806242,way/152481174-400,Nis
L100001044888,way/236110936-220,Sid
L100001044862,way/267325562-400,Vranje
L100001073922,way/236134509-220,Sremcica
L100001073913,RS7-220,Indija
L100001005454,way/144936638-400,Ruma
L100001044861,way/232243950-400,Vlasotince
L100001044887,way/174921474-400,Pozarevac
L100001044889,way/238249884-400,Zajecar
L100001003752,way/89109496-400,Subotica
L100000920706,way/839904125-220,Titel
L100000914324,way/808253261-400,Borca
L100000915852,way/839904125-220,Titel
L100000911488,way/273601208-220,Zrenjanin
L100001003762,way/238249884-400,Zajecar
L100001003834,way/174921474-400,Pozarevac
L100000915911,way/808253261-400,Borca
L100000914902,way/238249884-400,Zajecar
L100001003769,way/52456886-400,Smederevo
L100000920708,way/174921474-400,Pozarevac
L100000920709,way/267325562-400,Vranje
L100001003836,way/238249884-400,Zajecar
L100001044885,way/240179355-400,Paracin
L100000914704,way/808253261-400,Borca
L100000915357,way/174921474-400,Pozarevac
L100000915665,RS5-220,Kaluderica
L100000915726,way/174921474-400,Pozarevac
L100000920711,way/273601210-220,Becej
L100000920712,way/174921474-400,Pozarevac
L100001003835,way/411530745-220,Krusevac
L100001003774,way/52456886-220,PadinskaSkela
L100000915723,way/839904125-220,Titel
L100001003796,way/839904125-220,Titel
L100000920714,way/174921474-400,Pozarevac
L100001003764,way/144936638-220,Petrovaradin
L100001049933,way/238249884-400,Zajecar
L100001003832,way/174921474-400,Pozarevac
L100000920716,RS2-400,NoviSad
L100000920717,way/52456886-400,Smederevo
L100001044886,way/267325562-400,Vranje
L100000103402,way/52564762-220,StaraPazova
L100000103404,way/174921474-400,Pozarevac
L100000103406,way/498961839-400,Kragujevac
L100000103403,way/52564762-400,Sabac
L100000604102,RS13-220,BajinaBasta
L100000604103,RS13-220,BajinaBasta
L100000603300,RS17-220,NovaVaros
L100000603301,RS17-220,NovaVaros
L100000604098,way/238952272-400,Kladovo
L100000603302,RS19-400,Pirot
L100001025787,RS17-220,NovaVaros
L100001081887,RS17-220,NovaVaros
L100001081888,way/267325562-400,Vranje
L100000603303,RS10-400,Loznica
L100001081889,way/267325562-400,Vranje
