bus_id,grid_cell,bus_name
way/52456886-400,SRB_69,Smederevo
way/52456886-220,SRB_69,PadinskaSkela
way/52564762-400,SRB_43,Sabac
way/52564762-220,SRB_43,StaraPazova
way/89109496-400,SRB_21,Subotica
way/144936638-400,SRB_32,Ruma
way/144936638-220,SRB_32,Petrovaradin
way/152481174-400,SRB_106,Nis
way/152481174-220,SRB_106,Aleksinac
way/174921474-400,SRB_80,Pozarevac
way/196695540-220,,Tutin
way/232243950-400,SRB_105,Vlasotince
way/235291237-220,,Bujanovac
way/236110936-400,SRB_17,SremskaMitrovica
way/236110936-220,SRB_17,Sid
way/236110952-400,SRB_43,Belgrade
way/236134509-220,SRB_58,Sremcica
way/237532249-220,SRB_30,Vladimirci
way/238249884-400,SRB_110,Zajecar
way/238952272-400,SRB_126,Kladovo
way/238954545-400,SRB_7,Sombor
way/239947121-400,SRB_79,Mladenovac
way/239947121-220,SRB_79,SmederevskaPalanka
way/239998425-400,SRB_58,Pancevo
way/239998425-220,SRB_58,Surcin
way/240179355-400,SRB_87,Paracin
way/254397982-220,SRB_69,Ugrinovci
way/267325562-400,SRB_103,Vranje
way/273601208-220,SRB_61,Zrenjanin
way/273601210-400,SRB_33,Kula
way/288282829-220,SRB_28,Valjevo
way/307090968-220,SRB_58,NoviBanovci
way/317496363-220,SRB_40,Cacak
way/317497727-220,SRB_12,Uzice
way/317499556-400,,Medveda
way/330729171-400,SRB_58,Batajnica
way/330729178-220,SRB_58,NovaPazova
way/411530745-220,SRB_86,Krusevac
way/419803318-400,SRB_65,Kraljevo
way/419803318-220,SRB_65,Aleksandrovac
way/498961839-400,SRB_67,Kragujevac
way/613473916-220,,Lebane
way/616236270-220,,Prokuplje
way/616241694-220,,NoviPazar
way/808253261-400,SRB_69,Borca
way/839904125-220,SRB_70,Titel
way/1302365574-220,,Bojnik
RS9-400,SRB_80,VelikoGradiste
RS8-400,SRB_80,Kovin
RS20-400,,Sjenica
RS12-400,SRB_29,Lazarevac
RS12-220,SRB_29,Pecinci
way/317499556-220,,Kursumlija
RS22-220,,Blace
RS13-220,,BajinaBasta
RS27-400,,Raska
RS26-220,,Surdulica
RS21-220,,Priboj
RS6-400,SRB_69,Zemun
RS5-220,SRB_70,Kaluderica
RS25-400,SRB_92,Presevo
way/273601210-220,SRB_33,Becej
RS3-400,,Apatin
RS7-220,SRB_58,Indija
RS28-400,,Trgoviste
RS2-400,SRB_33,NoviSad
RS19-400,,Pirot
RS11-400,SRB_126,Negotin
RS14-220,SRB_54,GornjiMilanovac
RS15-220,,Cajetina
RS18-220,,Prijepolje
RS24-220,,Brus
RS29-220,,VladicinHan
RS17-220,SRB_10,NovaVaros
RS4-400,,Vrsac
RS1-400,,Kanjiza
RS10-400,,Loznica
way/238954545-400,SRB_0,Sombor
RS18-220,SRB_1,Prijepolje
RS13-220,SRB_2,BajinaBasta
RS10-400,SRB_3,Loznica
way/236110936-220,SRB_4,Sid
way/236110936-220,SRB_5,Sid
way/238954545-400,SRB_6,Sombor
way/238954545-400,SRB_8,Sombor
RS17-220,SRB_9,NovaVaros
RS17-220,SRB_11,NovaVaros
way/317497727-220,SRB_13,Uzice
way/288282829-220,SRB_14,Valjevo
way/237532249-220,SRB_15,Vladimirci
way/237532249-220,SRB_16,Vladimirci
way/236110936-400,SRB_18,SremskaMitrovica
way/273601210-220,SRB_19,Becej
way/273601210-220,SRB_20,Becej
way/89109496-400,SRB_22,Subotica
RS20-400,SRB_23,Sjenica
RS17-220,SRB_24,NovaVaros
way/317496363-220,SRB_25,Cacak
way/317496363-220,SRB_26,Cacak
way/288282829-220,SRB_27,Valjevo
way/236110936-400,SRB_31,SremskaMitrovica
RS2-400,SRB_34,NoviSad
way/89109496-400,SRB_35,Subotica
RS20-400,SRB_36,Sjenica
RS20-400,SRB_37,Sjenica
way/317496363-220,SRB_38,Cacak
way/317496363-220,SRB_39,Cacak
way/288282829-220,SRB_41,Valjevo
