bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/108032724-400,way/108032724,400.0,f,Substation,f,way/108032724,28.50496334170232,-20.23939775001613,ZW
way/108032724-330,way/108032724,330.0,f,Substation,f,way/108032724,28.50479606157269,-20.23958734733841,ZW
way/179121057-330,way/179121057,330.0,f,Substation,f,way/179121057,28.76336002203713,-16.526290337609584,ZW
way/179184234-330,way/179184234,330.0,f,Substation,f,way/179184234,31.37655552177455,-17.309746532942924,ZW
way/194106238-330,way/194106238,330.0,f,Substation,f,way/194106238,29.548452313463848,-19.452037023503003,ZW
way/194257376-330,way/194257376,330.0,f,Substation,f,way/194257376,30.896683030805484,-17.85168583527813,ZW
way/200772947-330,way/200772947,330.0,f,Substation,f,way/200772947,31.197739265294896,-18.06016064058084,ZW
way/200797322-330,way/200797322,330.0,f,Substation,f,way/200797322,31.03056605840922,-17.843309501280817,ZW
way/211766541-330,way/211766541,330.0,f,Substation,f,way/211766541,30.009026870701284,-17.4114519267586,ZW
way/211926951-330,way/211926951,330.0,f,Substation,f,way/211926951,30.400233347526257,-18.13031966951056,ZW
way/211927848-330,way/211927848,330.0,f,Substation,f,way/211927848,32.53752600210189,-18.990846083833823,ZW
way/211930404-330,way/211930404,330.0,f,Substation,f,way/211930404,31.34770757631703,-21.03585081949572,ZW
way/368962904-330,way/368962904,330.0,f,Substation,f,way/368962904,30.673363137990588,-17.16455846401739,ZW
way/675773526-330,way/675773526,330.0,f,Substation,f,way/675773526,30.445261213055044,-20.07723611588925,ZW
way/1159113084-400,way/1159113084,400.0,f,Substation,f,way/1159113084,26.492851222420374,-18.390380325785426,ZW
relation/9249245-330,relation/9249245,330.0,f,Substation,f,relation/9249245,29.77939650290062,-18.756698784603657,ZW
relation/9249246-330,relation/9249246,330.0,f,Substation,f,relation/9249246,30.693593459715828,-17.855574597878153,ZW
way/148918132-330,way/148918132,330.0,f,Substation,f,way/148918132,28.62501783955108,-20.125244852058763,ZW
way/148918132-220,way/148918132,220.0,f,Substation,f,way/148918132,28.62487314378276,-20.125006118715444,ZW
way/1159113084-330,way/1159113084,330.0,f,Substation,f,way/1159113084,26.49268317179534,-18.39057268938745,ZW
ZW5-220,ZW5,220.0,f,Substation,f,ZW5,27.550528199999995,-21.16564887160718,ZW
ZW6-400,ZW6,400.0,f,Substation,f,ZW6,27.7867183,-21.95788787168918,ZW
ZW4-330,ZW4,330.0,f,Substation,f,ZW4,28.453047899962748,-19.9675984214778,ZW
ZW2-330,ZW2,330.0,f,Substation,f,ZW2,26.47230907826213,-18.38231966822196,ZW
ZW1-330,ZW1,330.0,f,Substation,f,ZW1,32.75164079999999,-15.611274873507966,ZW
ZW3-330,ZW3,330.0,f,Substation,f,ZW3,29.707754349706622,-18.927817071323773,ZW
