GEM location ID,bus_id
L100000201414,way/211930404-330
L100000201415,way/211930404-330
L100000406834,way/368962904-330
L100000407852,ZW4-330
L100000104355,way/148918132-330
L100001000438,way/194106238-330
L100000104358,way/200797322-330
L100001020019,way/1159113084-400
L100000104361,ZW2-330
L100001000100,way/211930404-330
L100000104363,relation/9249245-330
L100000104809,ZW2-330
L100001020005,way/1159113084-400
L100000104774,ZW2-330
L100000922017,way/211926951-330
L100001016596,way/108032724-330
L100000827769,way/200772947-330
L100000811693,way/211926951-330
L100000800081,relation/9249245-330
L100000811694,way/1159113084-400
L100000827773,way/211927848-330
L100000811695,way/211926951-330
L100000800094,way/148918132-330
L100000800097,way/200797322-330
L100001016591,way/368962904-330
L100000827776,way/108032724-330
L100001016588,way/194106238-330
L100000800131,way/200772947-330
L100000827778,way/211926951-330
L100000827779,way/194106238-330
L100000827780,way/179121057-330
L100001016574,way/211926951-330
L100000800089,way/200772947-330
L100001016576,way/108032724-330
L100001016575,way/368962904-330
L100000800214,way/179121057-330
L100000827781,way/194106238-330
L100000827782,way/675773526-330
L100000800222,way/194106238-330
L100000811696,way/200797322-330
L100000827783,way/675773526-330
L100000811697,way/148918132-330
L100000800249,relation/9249246-330
L100000800252,relation/9249246-330
L100000827785,way/194106238-330
L100000800264,way/108032724-330
L100000827786,way/211766541-330
L100000827787,way/179184234-330
L100000811698,way/211930404-330
L100000800275,relation/9249245-330
L100000827789,way/675773526-330
L100000827791,ZW3-330
L100000827792,way/200797322-330
L100000800340,way/211930404-330
L100000827795,way/211926951-330
L100000827796,ZW4-330
L100000827797,way/148918132-220
L100000800345,ZW2-330
L100000800347,way/194106238-330
L100001016578,ZW3-330
L100001020092,way/200772947-330
L100000827770,way/194257376-330
L100000827771,ZW3-330
L100001020082,way/211927848-330
L100000827772,way/194257376-330
L100001020090,way/148918132-220
L100000827774,way/1159113084-330
L100001020086,way/211766541-330
L100001020068,way/200797322-330
L100001020074,way/200772947-330
L100001020091,way/200772947-330
L100000827775,way/179184234-330
L100001020072,way/179184234-330
L100001020093,way/211930404-330
L100001020089,way/194106238-330
L100001020088,way/211766541-330
L100001020078,ZW3-330
L100000827777,way/211927848-330
L100001020080,way/200772947-330
L100001020070,way/211930404-330
L100001020081,way/211930404-330
L100001020083,way/211766541-330
L100001020085,way/194106238-330
L100001020079,way/194106238-330
L100001020071,ZW3-330
L100000827784,ZW3-330
L100001020096,way/194106238-330
L100001020084,way/211930404-330
L100000827788,way/179184234-330
L100001020094,ZW3-330
L100000827790,way/200797322-330
L100001020077,way/1159113084-400
L100001020095,way/200772947-330
L100001020073,way/108032724-330
L100000827793,way/211927848-330
L100001020087,way/194106238-330
L100000827794,way/211927848-330
L100001020075,ZW4-330
L100001020076,way/200797322-330
L100001026046,way/1159113084-400
