bus_id,grid_cell
way/108032724-400,ZWE_43
way/108032724-330,ZWE_43
way/179121057-330,ZWE_65
way/179184234-330,ZWE_138
way/194106238-330,ZWE_73
way/194257376-330,ZWE_122
way/200772947-330,ZWE_136
way/200797322-330,ZWE_122
way/211766541-330,ZWE_93
way/211926951-330,ZWE_106
way/211927848-330,ZWE_162
way/211930404-330,ZWE_130
way/368962904-330,ZWE_123
way/675773526-330,ZWE_102
way/1159113084-400,ZWE_11
relation/9249245-330,ZWE_90
relation/9249246-330,ZWE_122
way/148918132-330,ZWE_44
way/148918132-220,ZWE_44
way/1159113084-330,ZWE_11
ZW5-220,ZWE_19
ZW6-400,
ZW4-330,ZWE_44
ZW2-330,ZWE_11
ZW1-330,
ZW3-330,ZWE_89
ZW2-330,ZWE_0
ZW2-330,ZWE_1
ZW2-330,ZWE_2
ZW2-330,ZWE_3
ZW2-330,ZWE_4
ZW2-330,ZWE_5
ZW2-330,ZWE_6
ZW2-330,ZWE_7
way/1159113084-330,ZWE_8
way/1159113084-330,ZWE_9
way/1159113084-330,ZWE_10
ZW2-330,ZWE_12
ZW5-220,ZWE_13
way/1159113084-330,ZWE_14
way/1159113084-330,ZWE_15
way/1159113084-400,ZWE_16
way/1159113084-400,ZWE_17
way/1159113084-400,ZWE_18
ZW5-220,ZWE_20
ZW4-330,ZWE_21
ZW4-330,ZWE_22
way/1159113084-400,ZWE_23
way/1159113084-400,ZWE_24
way/1159113084-400,ZWE_25
way/1159113084-400,ZWE_26
way/179121057-330,ZWE_27
ZW6-400,ZWE_28
ZW5-220,ZWE_29
ZW5-220,ZWE_30
way/108032724-330,ZWE_31
ZW4-330,ZWE_32
ZW4-330,ZWE_33
ZW4-330,ZWE_34
way/1159113084-400,ZWE_35
way/1159113084-400,ZWE_36
way/179121057-330,ZWE_37
way/179121057-330,ZWE_38
way/179121057-330,ZWE_39
ZW6-400,ZWE_40
ZW5-220,ZWE_41
way/108032724-330,ZWE_42
ZW4-330,ZWE_45
ZW4-330,ZWE_46
ZW3-330,ZWE_47
relation/9249245-330,ZWE_48
way/179121057-330,ZWE_49
way/179121057-330,ZWE_50
way/179121057-330,ZWE_51
ZW6-400,ZWE_52
ZW6-400,ZWE_53
way/108032724-330,ZWE_54
way/108032724-330,ZWE_55
way/148918132-330,ZWE_56
way/148918132-220,ZWE_57
way/194106238-330,ZWE_58
way/194106238-330,ZWE_59
ZW3-330,ZWE_60
relation/9249245-330,ZWE_61
way/211766541-330,ZWE_62
way/179121057-330,ZWE_63
way/179121057-330,ZWE_64
way/179121057-330,ZWE_66
ZW6-400,ZWE_67
ZW6-400,ZWE_68
way/108032724-330,ZWE_69
way/148918132-330,ZWE_70
way/148918132-330,ZWE_71
way/194106238-330,ZWE_72
ZW3-330,ZWE_74
relation/9249245-330,ZWE_75
relation/9249245-330,ZWE_76
way/211766541-330,ZWE_77
way/211766541-330,ZWE_78
way/179121057-330,ZWE_79
way/179121057-330,ZWE_80
way/179121057-330,ZWE_81
way/211930404-330,ZWE_82
way/211930404-330,ZWE_83
way/675773526-330,ZWE_84
way/675773526-330,ZWE_85
way/675773526-330,ZWE_86
way/194106238-330,ZWE_87
way/194106238-330,ZWE_88
way/211926951-330,ZWE_91
way/211766541-330,ZWE_92
way/211766541-330,ZWE_94
way/211766541-330,ZWE_95
way/179121057-330,ZWE_96
way/211930404-330,ZWE_97
way/211930404-330,ZWE_98
way/211930404-330,ZWE_99
way/675773526-330,ZWE_100
way/675773526-330,ZWE_101
way/675773526-330,ZWE_103
relation/9249245-330,ZWE_104
way/211926951-330,ZWE_105
relation/9249246-330,ZWE_107
way/368962904-330,ZWE_108
way/368962904-330,ZWE_109
way/368962904-330,ZWE_110
way/368962904-330,ZWE_111
way/211930404-330,ZWE_112
way/211930404-330,ZWE_113
way/211930404-330,ZWE_114
way/211930404-330,ZWE_115
way/675773526-330,ZWE_116
way/675773526-330,ZWE_117
way/675773526-330,ZWE_118
way/211926951-330,ZWE_119
way/200772947-330,ZWE_120
way/194257376-330,ZWE_121
way/368962904-330,ZWE_124
way/368962904-330,ZWE_125
way/368962904-330,ZWE_126
way/211930404-330,ZWE_127
way/211930404-330,ZWE_128
way/211930404-330,ZWE_129
way/211930404-330,ZWE_131
way/675773526-330,ZWE_132
way/675773526-330,ZWE_133
way/200772947-330,ZWE_134
way/200772947-330,ZWE_135
way/200797322-330,ZWE_137
way/179184234-330,ZWE_139
way/179184234-330,ZWE_140
ZW1-330,ZWE_141
way/211930404-330,ZWE_142
way/211930404-330,ZWE_143
way/211930404-330,ZWE_144
way/211930404-330,ZWE_145
way/211930404-330,ZWE_146
way/211927848-330,ZWE_147
way/211927848-330,ZWE_148
way/211927848-330,ZWE_149
way/200772947-330,ZWE_150
way/200772947-330,ZWE_151
way/179184234-330,ZWE_152
way/179184234-330,ZWE_153
way/179184234-330,ZWE_154
way/179184234-330,ZWE_155
way/211930404-330,ZWE_156
way/211930404-330,ZWE_157
way/211930404-330,ZWE_158
way/211930404-330,ZWE_159
way/211927848-330,ZWE_160
way/211927848-330,ZWE_161
way/211927848-330,ZWE_163
way/211927848-330,ZWE_164
way/179184234-330,ZWE_165
way/179184234-330,ZWE_166
way/179184234-330,ZWE_167
ZW1-330,ZWE_168
way/211927848-330,ZWE_169
way/211927848-330,ZWE_170
way/211927848-330,ZWE_171
way/211927848-330,ZWE_172
way/211927848-330,ZWE_173
way/211927848-330,ZWE_174
way/211927848-330,ZWE_175
way/179184234-330,ZWE_176
ZW1-330,ZWE_177
ZW1-330,ZWE_178
